Sen1_L,Sen2_L,Sen3_L,Sen4_L,Sen5_L,Sen6_L,Sen7_L,Sen8_L,Sen9_L,Sen10_L,Sen11_L,Sen12_L,Sen13_L,Sen14_L,CLK,Sen1_R,Sen2_R,Sen3_R,Sen4_R,Sen5_R,Sen6_R,Sen7_R,Sen8_R,Sen9_R,Sen10_R,Sen11_R,Sen12_R,Sen13_R,Sen14_R
75,0,194,121,51,100,102,0,0,97,89,315,323,527,2140,38,0,206,82,51,115,98,0,35,125,258,368,391,281
84,0,199,129,56,100,97,0,0,98,100,332,338,534,4139,39,0,196,85,49,114,98,0,35,122,256,360,392,293
100,0,212,126,62,102,100,0,0,108,104,344,353,531,6139,46,0,196,87,50,114,86,0,38,119,264,360,407,296
95,0,213,119,51,98,105,0,0,116,107,336,353,530,8139,61,0,199,96,54,112,77,0,39,128,277,368,424,301
84,0,218,124,57,97,101,0,0,109,101,338,342,512,10139,70,0,197,102,58,120,84,0,43,133,290,380,452,325
84,0,211,117,52,93,100,0,0,112,100,326,329,499,12140,84,0,213,105,67,129,89,0,51,145,305,403,485,325
105,0,214,114,52,96,98,0,0,116,111,328,342,495,14140,106,0,225,109,72,145,104,0,67,151,318,406,469,315
164,0,253,122,67,108,93,0,0,124,123,335,328,458,16139,126,7,259,109,79,156,108,0,82,166,336,415,456,290
214,0,284,126,66,115,93,0,0,126,124,299,267,397,18139,139,14,281,109,87,175,128,0,94,182,346,415,446,266
240,0,291,133,79,117,88,0,0,131,116,276,230,342,20139,151,22,295,107,89,179,129,0,106,194,354,419,427,244
255,0,299,128,82,119,78,0,0,139,118,273,218,325,22139,155,27,310,109,95,190,132,0,105,196,350,427,424,232
251,0,302,129,85,126,83,0,0,137,112,271,224,322,24139,149,28,313,110,98,192,140,0,117,209,354,429,423,249
247,0,301,123,81,122,80,0,0,139,118,269,221,312,26140,145,27,319,114,100,199,145,0,114,210,364,449,439,264
