Sen1_L,Sen2_L,Sen3_L,Sen4_L,Sen5_L,Sen6_L,Sen7_L,Sen8_L,Sen9_L,Sen10_L,Sen11_L,Sen12_L,Sen13_L,Sen14_L,CLK,Sen1_R,Sen2_R,Sen3_R,Sen4_R,Sen5_R,Sen6_R,Sen7_R,Sen8_R,Sen9_R,Sen10_R,Sen11_R,Sen12_R,Sen13_R,Sen14_R
53,0,47,112,22,12,0,0,0,33,159,239,564,512,4139,65,0,151,92,31,99,36,0,9,106,197,429,496,651
64,0,52,114,17,9,0,0,0,38,160,234,565,506,6138,70,0,157,101,34,105,41,0,10,103,193,437,500,661
77,0,52,125,21,10,0,0,0,33,162,231,559,501,8139,76,0,160,103,38,108,44,0,13,107,197,442,511,653
93,0,55,127,22,5,0,0,0,36,166,225,559,485,10139,85,0,166,97,35,112,50,0,22,112,201,446,514,667
105,0,61,131,21,3,0,0,0,36,167,223,561,491,12139,93,0,181,104,41,117,53,0,26,119,218,467,527,677
101,0,60,139,18,4,0,0,0,32,164,213,553,484,14139,93,0,197,111,47,125,58,0,29,109,225,474,529,684
108,0,63,137,22,0,0,0,0,32,164,210,544,469,16139,98,0,197,104,40,118,60,0,30,120,227,479,533,684
103,0,60,130,22,0,0,0,0,29,157,200,528,455,18138,85,0,190,101,34,124,72,0,33,128,218,479,528,689
93,0,55,129,17,0,0,0,0,21,145,189,513,447,20138,80,0,194,102,35,124,74,0,30,130,215,486,533,698
86,0,52,126,16,0,0,0,0,17,132,177,512,427,22139,82,0,194,100,33,120,77,0,35,134,223,492,544,701
77,0,42,120,13,0,0,0,0,16,118,164,496,408,24139,88,0,211,103,36,126,73,0,31,136,223,499,546,703
63,0,27,117,10,0,0,0,0,11,116,151,486,399,26139,88,0,212,103,37,129,82,0,38,138,227,501,548,708
59,0,21,120,3,0,0,0,0,8,112,141,471,393,28139,97,0,224,105,39,128,77,0,40,137,233,498,544,706
69,0,22,118,7,0,0,0,0,3,103,144,469,389,30139,116,0,243,106,44,133,80,0,47,141,235,499,539,685
80,0,19,117,5,0,0,0,0,7,106,137,462,386,32138,137,0,272,109,51,143,82,0,53,149,244,499,524,668
91,0,18,120,4,0,0,0,0,8,102,127,460,380,34139,153,0,312,114,59,155,79,0,54,156,247,503,510,648
96,0,24,135,7,0,0,0,0,3,102,132,452,384,36139,171,0,334,122,65,166,87,0,63,162,259,493,479,618
109,0,34,137,13,0,0,0,0,7,106,133,449,374,38139,194,0,364,117,70,174,94,0,69,170,259,486,456,581
122,0,34,141,10,0,0,0,0,9,110,138,450,377,40139,211,0,383,129,80,182,96,0,74,176,263,492,452,559
131,0,41,149,17,0,0,0,0,14,116,142,463,374,42139,222,0,393,134,84,189,97,0,80,181,259,495,435,542
135,0,40,151,15,0,0,0,0,14,122,139,456,381,44139,232,0,399,133,81,189,98,0,80,183,264,473,406,524
139,0,52,157,21,0,0,0,0,12,120,146,467,380,46138,234,0,401,138,81,188,101,0,82,184,256,461,403,496
142,0,54,159,17,0,0,0,0,9,122,144,461,388,48139,235,0,407,143,85,192,103,0,79,185,253,458,384,485
149,0,60,164,19,0,0,0,0,11,127,157,479,397,50139,235,0,410,146,87,196,105,0,79,183,244,461,382,484
161,0,70,164,24,0,0,0,0,24,137,165,488,399,52139,243,0,419,153,92,199,106,0,83,181,244,460,373,467
165,0,81,170,28,0,0,0,0,20,144,172,492,406,54139,267,0,427,154,96,199,102,0,83,192,245,455,351,450
171,0,87,169,27,0,0,0,0,25,151,170,490,397,56139,273,0,434,162,100,209,109,0,90,185,245,445,343,426
175,0,94,170,23,0,0,0,0,25,150,166,488,401,58139,290,0,439,169,107,216,107,0,95,194,244,444,335,409
179,0,116,172,29,1,0,0,0,24,151,174,496,401,60138,298,0,442,175,109,215,114,0,99,193,253,441,331,404
183,0,143,172,25,2,0,0,0,25,159,174,498,405,62138,310,0,442,179,107,214,114,0,104,192,249,432,323,394
191,0,162,175,25,0,0,0,0,21,167,181,496,407,64139,321,0,440,184,115,217,116,0,105,199,246,429,312,377
193,0,180,174,22,0,0,0,0,30,172,174,494,404,66139,346,0,440,185,120,213,109,0,106,204,250,420,301,375
197,0,191,183,26,0,0,0,0,22,164,172,491,401,68139,358,0,445,197,127,215,107,0,108,201,252,433,308,371
202,0,189,181,24,0,0,0,0,24,171,167,485,399,70139,351,0,445,200,129,221,112,0,109,198,256,435,317,391
197,0,192,179,21,0,0,0,0,24,168,167,490,413,72139,355,0,444,196,128,219,110,0,110,198,270,451,343,415
194,0,192,177,30,0,0,0,0,28,167,176,506,410,74138,346,0,449,194,124,221,110,0,107,197,280,472,380,452
180,0,189,171,26,0,0,0,0,28,166,181,494,416,76139,319,0,440,185,113,213,112,0,107,189,284,488,413,492
162,0,182,174,31,2,0,0,0,28,151,188,497,424,78139,296,0,423,168,96,198,109,0,101,183,296,506,461,546
144,0,166,163,24,5,0,0,0,28,151,188,513,444,80139,269,0,411,153,84,184,96,0,81,169,295,530,525,589
122,0,142,157,21,0,0,0,0,28,145,191,531,457,82139,248,0,396,142,70,170,91,0,72,157,296,526,552,633
103,0,118,144,16,0,0,0,0,28,142,193,532,476,84139,259,0,398,152,75,164,80,0,72,154,305,530,569,629
73,0,94,138,12,0,0,0,0,31,143,183,540,493,86138,293,0,415,174,96,183,88,0,87,165,301,532,530,586
73,0,84,138,8,0,0,0,0,35,137,187,539,493,88138,337,0,417,194,111,194,95,0,109,179,301,513,473,542
109,0,106,147,18,6,0,0,0,46,139,198,523,474,90139,398,0,421,215,134,206,101,0,115,189,302,492,415,472
177,0,162,161,31,24,0,0,0,60,149,202,466,433,92139,495,0,420,230,145,218,107,0,137,206,293,443,322,347
238,0,213,181,45,42,0,0,1,70,147,193,396,356,94139,553,30,420,258,159,232,114,0,139,201,241,349,208,212
298,0,241,190,56,45,0,0,0,80,136,161,310,279,96139,625,60,415,284,185,230,105,0,124,185,185,286,112,104
333,0,253,203,58,54,0,0,6,68,114,127,238,211,98139,689,82,406,305,200,227,94,0,109,158,115,209,28,30
360,0,271,219,65,57,0,0,0,58,96,103,183,154,100138,738,116,407,318,197,221,84,0,91,131,27,103,0,0
395,0,292,230,77,54,0,0,0,48,69,73,131,91,102138,757,135,405,327,194,199,69,0,55,96,0,1,0,0
411,0,296,240,74,49,0,0,0,44,35,31,76,46,104139,769,145,410,330,188,182,50,0,24,79,0,0,0,0
420,0,302,250,76,52,0,0,0,33,2,2,39,9,106139,777,139,416,331,184,177,41,0,15,64,0,0,0,0
430,0,307,253,82,54,0,0,0,38,0,0,30,0,108139,763,117,411,317,168,148,27,0,25,73,0,0,0,0
431,0,317,256,87,68,0,0,0,51,0,0,24,3,110139,721,80,411,309,147,133,18,0,32,70,30,75,0,0
429,0,325,253,98,76,0,0,0,70,3,10,33,5,112139,683,56,402,279,117,109,6,0,38,68,83,135,25,50
429,0,344,248,106,95,5,0,0,81,15,35,38,12,114138,644,43,392,254,93,90,0,0,39,73,120,177,78,102
430,0,343,241,109,105,23,0,3,87,15,39,25,6,116139,607,21,390,225,73,82,0,0,27,67,150,208,131,154
417,0,343,232,116,116,32,0,13,99,12,48,20,4,118139,583,5,378,206,63,80,0,0,26,73,185,248,199,223
389,0,344,208,109,121,46,0,11,94,0,47,16,5,120139,562,0,375,190,57,81,0,0,31,71,225,297,303,328
364,0,328,192,95,114,41,0,8,94,0,24,0,0,122139,548,0,355,186,55,75,0,0,39,77,275,343,407,427
353,0,325,183,94,101,27,0,0,72,0,7,0,0,124139,513,0,345,191,60,85,0,0,50,83,302,393,500,494
345,0,294,178,78,80,13,0,0,48,0,0,0,0,126139,469,0,342,178,67,105,0,0,61,103,335,449,586,588
346,0,263,182,73,68,0,0,0,18,0,0,0,0,128138,380,0,325,173,62,126,16,0,68,116,353,512,671,663
347,0,201,180,60,54,0,0,0,0,0,0,0,0,130139,267,0,283,181,73,126,15,0,71,129,376,571,731,744
364,0,116,184,37,27,0,0,0,0,0,0,0,0,132139,179,0,223,186,72,133,18,0,79,135,392,587,782,793
357,0,35,174,0,19,0,0,0,0,0,0,0,0,134139,117,0,166,190,80,129,15,0,89,147,404,596,792,828
187,0,0,118,0,0,0,0,0,0,0,0,0,0,136139,64,0,137,207,87,137,18,0,93,143,403,606,796,832
65,0,0,39,0,0,0,0,0,0,0,0,0,0,138139,49,0,138,219,94,145,30,0,93,157,393,613,768,836
0,0,0,0,0,0,0,0,0,0,0,0,0,0,140138,55,0,169,228,111,153,38,0,107,186,401,608,743,786
0,0,0,0,0,0,0,0,0,0,0,0,0,0,142138,58,0,233,245,117,165,55,0,114,190,395,589,695,743
