Sen1_L,Sen2_L,Sen3_L,Sen4_L,Sen5_L,Sen6_L,Sen7_L,Sen8_L,Sen9_L,Sen10_L,Sen11_L,Sen12_L,Sen13_L,Sen14_L,CLK,Sen1_R,Sen2_R,Sen3_R,Sen4_R,Sen5_R,Sen6_R,Sen7_R,Sen8_R,Sen9_R,Sen10_R,Sen11_R,Sen12_R,Sen13_R,Sen14_R
209,0,310,230,126,164,79,0,26,141,63,224,181,278,2143,371,67,481,148,90,185,107,0,91,190,195,374,252,332
215,0,302,227,122,162,79,0,29,140,69,219,171,270,4142,360,59,476,155,95,190,111,0,93,191,192,372,247,324
219,0,313,230,128,168,79,0,24,137,67,221,170,263,6143,351,49,471,163,102,198,116,0,91,191,189,371,252,326
224,0,307,225,121,163,78,0,33,145,71,215,169,265,8143,338,37,478,172,110,200,107,0,90,194,195,376,264,332
225,0,305,225,122,161,77,0,30,145,70,215,169,263,10143,325,35,474,168,105,192,103,0,98,197,205,381,261,343
223,0,302,230,125,154,70,0,25,139,63,211,166,257,12143,310,28,480,172,109,200,115,0,97,203,196,388,265,339
219,0,301,230,122,153,67,0,18,132,58,209,170,262,14143,294,28,485,164,107,203,116,0,99,207,198,390,264,333
215,0,290,225,116,149,63,0,20,129,66,196,172,263,16143,275,22,495,170,111,213,123,0,103,208,198,397,274,337
223,0,291,235,120,149,63,0,18,125,63,186,153,248,18142,265,28,496,172,111,219,136,0,114,216,208,395,262,325
233,0,300,246,128,155,61,0,13,117,49,169,127,216,20143,270,37,511,178,117,227,144,0,112,226,207,401,239,299
246,0,299,242,128,149,55,0,15,122,47,166,116,200,22143,281,58,521,174,121,233,149,0,118,239,198,388,220,276
240,0,296,235,126,157,68,0,19,128,47,184,131,218,24143,277,60,516,172,123,239,154,0,121,251,197,395,215,275
224,0,291,219,118,153,66,0,24,135,57,195,147,243,26143,260,65,519,159,122,238,155,0,123,255,206,411,230,287
213,0,285,204,105,145,60,0,21,139,60,201,157,252,28143,228,62,520,143,107,232,153,0,122,253,210,419,246,307
196,0,274,190,101,141,60,0,18,138,58,208,164,258,30143,188,49,501,131,96,216,145,0,112,251,206,429,263,342
181,0,257,182,100,132,55,0,15,133,57,208,174,287,32142,147,18,475,126,81,206,129,0,89,218,201,450,323,401
157,0,234,165,87,124,45,0,0,114,59,227,209,321,34143,115,0,429,116,67,191,118,0,73,199,208,478,370,474
117,0,184,143,70,113,48,0,0,107,58,218,232,352,36143,91,0,376,112,54,170,108,0,63,190,213,486,424,523
82,0,137,122,58,101,47,0,0,105,47,216,241,366,38143,89,0,338,112,50,155,96,0,54,174,214,498,462,539
42,0,100,107,50,95,49,0,0,94,25,203,238,364,40143,103,0,326,113,52,140,81,0,49,183,228,507,498,560
16,0,64,110,41,73,49,0,0,96,8,181,214,352,42143,126,0,331,121,58,146,81,0,52,170,234,513,529,596
14,0,55,129,46,62,55,0,0,87,0,172,199,326,44142,154,0,355,126,65,152,79,0,58,157,257,505,551,613
6,0,49,133,41,49,52,0,0,85,0,145,179,299,46143,179,0,376,130,71,152,76,0,52,165,267,513,570,615
0,0,27,139,38,43,61,0,0,77,0,119,142,275,48143,192,0,381,126,67,151,79,0,62,172,279,521,581,626
0,0,26,137,41,41,64,0,0,79,0,101,111,240,50143,195,0,385,128,61,160,93,0,70,172,293,520,598,639
0,0,30,121,36,33,66,0,0,74,0,70,65,180,52143,194,0,387,126,58,161,96,0,71,174,301,533,620,652
0,0,29,116,38,36,68,0,0,71,0,40,1,131,54143,203,0,390,127,60,160,91,0,76,174,310,567,663,674
25,0,39,118,41,39,68,0,0,65,0,3,0,51,56143,210,0,387,124,54,170,100,0,75,177,333,603,714,727
73,0,48,125,44,37,58,0,0,43,0,0,0,0,58143,201,0,368,118,48,162,105,0,79,200,357,628,763,779
120,0,52,121,38,36,50,0,0,15,0,0,0,0,60143,185,0,353,107,43,168,126,0,89,221,368,661,804,806
153,0,50,105,35,37,37,0,0,0,0,0,0,0,62143,177,0,349,103,46,177,147,0,94,245,374,678,798,801
177,0,35,66,3,39,27,0,0,0,0,0,0,0,64143,174,0,361,103,49,192,158,0,110,259,384,703,796,806
159,0,13,7,0,38,14,0,0,0,0,0,0,0,66143,178,0,365,105,59,204,163,0,124,269,388,711,805,802
99,0,0,0,0,0,1,0,0,0,0,0,0,0,68143,189,0,370,114,74,208,162,0,133,272,388,728,809,808
0,0,0,0,0,0,0,0,0,0,0,0,0,0,70143,204,0,390,118,87,224,166,0,149,302,392,737,794,769
0,0,0,0,0,0,0,0,0,0,0,0,0,0,72143,228,0,424,131,106,251,191,0,178,360,387,724,696,679
0,0,0,0,0,0,0,0,0,0,0,0,0,0,74143,267,0,461,151,136,274,203,0,201,388,380,699,594,566
0,0,0,0,0,0,0,0,0,0,0,0,0,0,76143,291,20,486,166,152,299,224,0,228,412,349,644,467,483
0,0,0,0,0,0,0,0,0,0,0,0,0,0,78143,325,58,500,172,164,317,240,0,253,443,328,604,380,378
27,0,0,0,0,0,0,0,0,0,0,0,0,0,80143,343,77,509,185,185,335,259,0,255,461,293,545,281,289
48,0,0,0,0,0,0,0,0,0,0,0,0,0,82143,374,101,535,194,205,359,281,0,258,483,238,493,179,187
69,0,0,0,0,0,0,0,0,0,0,0,0,0,84143,401,115,536,197,215,378,307,0,259,501,183,428,87,110
93,0,0,0,0,0,0,0,0,0,0,0,0,0,86142,430,122,545,206,225,404,336,0,258,503,132,371,24,44
103,0,0,0,0,0,0,0,0,0,0,0,0,0,88143,470,140,548,211,239,423,357,0,245,498,69,298,0,0
105,0,0,0,0,0,0,0,0,0,0,0,0,0,90143,492,156,548,215,250,439,385,0,228,481,0,197,0,0
107,0,0,0,0,0,0,0,0,0,0,0,0,0,92143,522,183,553,225,253,444,397,0,187,434,0,63,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,94143,562,208,548,241,266,450,407,0,125,368,0,0,0,0
135,0,0,0,0,0,0,0,0,0,0,0,0,0,96143,596,234,557,263,280,459,394,0,67,301,0,0,0,0
141,0,0,0,0,0,0,0,0,0,0,0,0,0,98143,640,256,548,284,290,453,376,0,16,218,0,0,0,0
149,0,0,0,0,0,0,0,0,0,0,0,0,0,100143,685,281,535,298,290,429,348,0,0,126,0,0,0,0
144,0,0,0,0,0,0,0,0,0,0,0,0,0,102143,730,302,528,331,289,401,305,0,0,47,0,0,0,0
147,0,0,0,0,0,0,0,0,0,0,0,0,0,104143,780,323,512,378,288,372,256,0,0,0,0,0,0,0
155,0,0,0,0,0,0,0,0,0,0,0,0,0,106143,851,346,487,429,291,332,190,0,0,0,0,0,0,0
181,0,0,0,0,0,0,0,0,0,0,0,0,0,108143,933,350,456,485,288,282,108,0,0,0,0,0,0,0
186,0,0,0,0,0,0,0,0,0,0,0,0,0,110143,1008,346,428,539,271,217,24,0,0,0,0,0,0,0
153,0,0,0,0,0,0,0,0,0,0,0,0,0,112142,1093,325,387,579,234,137,0,0,0,0,0,0,0,0
83,0,0,0,0,0,0,0,0,0,0,0,0,165,114143,1138,278,367,611,182,72,0,0,0,0,0,0,0,0
0,0,0,0,0,0,9,0,0,4,0,217,401,707,116143,1167,215,331,611,135,23,0,0,0,0,0,0,0,0
0,0,0,0,0,17,117,0,0,96,60,370,540,755,118143,1162,91,308,523,74,0,0,0,0,0,0,0,0,0
0,0,0,0,0,130,106,0,9,150,133,409,557,708,120143,995,0,302,377,20,0,0,0,0,0,0,0,0,0
0,0,0,10,61,135,93,0,46,180,195,477,628,765,122143,664,0,308,269,0,0,0,0,0,0,0,0,0,0
0,0,0,91,77,151,102,0,68,217,232,530,648,810,124143,445,0,230,172,0,0,0,0,0,0,0,0,0,0
0,0,93,137,95,177,124,0,89,240,239,555,612,732,126143,361,0,221,126,0,0,0,0,0,0,0,0,0,0
0,0,185,177,111,189,128,0,100,254,244,530,525,658,128143,347,0,199,111,0,0,0,0,0,0,0,0,0,0
55,0,267,206,134,214,149,0,110,264,223,510,453,548,130143,352,0,192,98,0,0,0,0,0,0,0,0,0,0
137,0,324,220,152,235,178,0,124,276,206,477,336,454,132143,349,0,189,84,0,0,0,0,0,0,0,0,0,0
238,0,380,229,177,273,209,0,137,295,173,428,228,347,134143,350,0,179,70,0,0,0,0,0,0,0,0,0,0
335,0,402,239,199,304,244,0,148,302,121,371,99,209,136143,354,0,177,70,0,0,0,0,0,0,0,0,0,0
415,0,439,246,223,346,281,0,155,312,58,282,3,86,138143,363,0,175,60,0,0,0,0,0,0,0,0,0,0
480,0,460,253,248,390,322,0,146,319,0,198,0,0,140143,378,0,163,46,0,0,0,0,0,0,0,0,0,0
532,13,467,262,264,424,357,0,117,291,0,47,0,0,142143,392,0,160,46,0,0,0,0,0,0,0,0,0,0
597,28,464,284,291,449,374,0,67,243,0,0,0,0,144143,401,0,151,35,0,0,0,0,0,0,0,0,0,0
665,51,438,300,305,473,378,0,6,174,0,0,0,0,146143,418,0,150,22,0,0,0,0,0,0,0,0,0,0
738,68,431,335,337,494,355,0,0,70,0,0,0,0,148143,428,0,147,19,0,0,0,0,0,0,0,0,0,0
807,88,412,369,353,498,321,0,0,0,0,0,0,0,150143,437,0,147,10,0,0,0,0,0,0,0,0,0,0
861,111,399,419,377,487,273,0,0,0,0,0,0,0,152143,456,0,137,4,0,0,0,0,0,0,0,0,0,0
909,137,388,480,409,471,218,0,0,0,0,0,0,0,154143,475,0,137,2,0,0,0,0,0,0,0,0,0,0
956,155,391,530,424,433,153,0,0,0,0,0,0,0,156143,482,0,133,0,0,0,0,0,0,0,0,0,0,0
964,132,388,574,417,384,109,0,0,0,0,0,0,0,158143,479,0,125,0,0,0,0,0,0,0,0,0,0,0
945,91,387,550,405,356,87,0,0,0,0,0,0,0,160143,439,0,126,0,0,0,0,0,0,0,0,0,0,134
944,16,374,442,336,323,73,0,0,0,0,0,0,0,162143,359,0,141,0,0,0,0,0,0,0,0,116,608,1108
987,0,338,321,181,131,0,0,0,0,0,0,0,0,164143,305,0,139,0,0,7,30,0,0,0,155,491,703,1004
755,0,362,231,22,0,0,0,0,0,0,0,0,0,166143,311,0,185,6,0,125,73,0,41,109,355,644,785,976
516,0,342,139,0,0,0,0,0,0,0,0,0,0,168143,293,0,210,84,57,161,67,0,101,170,454,701,859,942
189,0,207,81,0,0,0,0,0,0,0,0,0,0,170143,253,0,220,138,83,170,68,0,109,185,450,736,845,923
63,0,151,57,0,0,0,0,0,0,0,0,0,0,172143,218,1,260,168,105,192,96,0,128,223,429,740,745,814
46,0,133,42,0,0,0,0,0,0,0,0,0,0,174143,276,12,319,183,122,224,135,0,155,266,404,718,610,683
29,0,118,39,0,0,0,0,0,0,0,0,0,0,176143,299,32,417,187,141,259,173,0,172,317,361,684,473,552
24,0,103,31,0,0,0,0,0,0,0,0,0,0,178143,297,63,486,189,153,290,208,0,178,351,311,613,351,410
24,0,101,19,0,0,0,0,0,0,0,0,0,0,180142,308,93,514,193,159,300,221,0,180,358,261,537,230,290
37,0,96,12,0,0,0,0,0,0,0,0,0,0,182143,318,101,530,206,179,305,227,0,189,364,208,460,139,173
54,0,88,0,0,0,0,0,0,0,0,0,0,0,184143,339,121,544,213,190,330,236,0,174,355,155,373,55,73
75,0,91,0,0,0,0,0,0,0,0,0,0,0,186143,365,137,549,222,203,347,259,0,162,344,80,281,0,0
103,0,83,0,0,0,0,0,0,0,0,0,0,0,188143,405,160,542,231,218,369,281,0,153,327,5,167,0,0
149,0,85,0,0,0,0,0,0,0,0,0,0,0,190143,473,186,544,256,240,385,278,0,131,284,0,36,0,0
175,0,79,0,0,0,0,0,0,0,0,0,0,0,192143,532,218,515,276,254,397,280,0,110,225,0,0,0,0
197,0,76,0,0,0,0,0,0,0,0,0,0,0,194143,599,247,488,299,278,413,279,0,81,174,0,0,0,0
211,0,73,0,0,0,0,0,0,0,0,0,0,0,196143,666,277,464,319,298,439,293,0,35,115,0,0,0,0
225,0,63,0,0,0,0,0,0,0,0,0,0,0,198143,729,316,452,342,315,460,291,0,0,61,0,0,0,0
256,0,60,0,0,0,0,0,0,0,0,0,0,0,200143,779,362,439,364,327,486,288,0,0,0,0,0,0,0
258,0,57,0,0,0,0,0,0,0,0,0,0,0,202143,818,409,440,383,323,490,267,0,0,0,0,0,0,0
251,0,52,0,0,0,0,0,0,0,0,0,0,0,204143,852,438,445,397,325,477,224,0,0,0,0,0,0,0
217,0,43,0,0,0,0,0,0,0,0,0,0,0,206143,880,446,441,425,313,428,159,0,0,0,0,0,0,0
