Sen1_L,Sen2_L,Sen3_L,Sen4_L,Sen5_L,Sen6_L,Sen7_L,Sen8_L,Sen9_L,Sen10_L,Sen11_L,Sen12_L,Sen13_L,Sen14_L,CLK,Sen1_R,Sen2_R,Sen3_R,Sen4_R,Sen5_R,Sen6_R,Sen7_R,Sen8_R,Sen9_R,Sen10_R,Sen11_R,Sen12_R,Sen13_R,Sen14_R
0,0,0,122,65,86,9,0,10,87,141,238,543,464,2146,,,,,,,,,,,,,,
0,0,0,128,63,86,9,0,9,82,135,225,523,461,4146,55.0,0.0,157.0,47.0,0.0,112.0,215.0,0.0,18.0,244.0,133.0,532.0,423.0,612.0
0,0,0,133,65,82,0,0,5,78,124,218,522,447,6146,60.0,0.0,170.0,48.0,0.0,112.0,198.0,0.0,16.0,241.0,139.0,539.0,433.0,602.0
0,0,0,132,65,72,0,0,6,79,129,204,515,434,8147,57.0,0.0,172.0,52.0,0.0,117.0,195.0,0.0,26.0,239.0,144.0,534.0,439.0,613.0
0,0,0,142,69,73,0,0,0,67,124,206,517,430,10147,64.0,0.0,178.0,50.0,10.0,119.0,187.0,0.0,30.0,241.0,158.0,551.0,462.0,626.0
0,0,0,143,64,67,0,0,5,73,131,197,518,432,12147,65.0,0.0,181.0,47.0,9.0,122.0,181.0,0.0,36.0,236.0,165.0,555.0,477.0,636.0
0,0,0,152,67,68,0,0,4,62,129,193,520,424,14147,62.0,0.0,176.0,52.0,10.0,120.0,171.0,0.0,38.0,228.0,168.0,542.0,479.0,636.0
10,0,0,157,65,63,0,0,0,63,127,183,517,402,16146,58.0,0.0,171.0,55.0,15.0,119.0,159.0,0.0,38.0,216.0,169.0,534.0,481.0,632.0
29,0,0,167,65,63,0,0,0,53,129,177,517,401,18146,47.0,0.0,156.0,42.0,14.0,124.0,149.0,0.0,24.0,201.0,166.0,540.0,492.0,631.0
53,0,0,174,62,58,0,0,0,49,143,179,542,409,20147,41.0,0.0,123.0,25.0,13.0,114.0,145.0,0.0,27.0,200.0,177.0,550.0,509.0,646.0
63,0,0,172,57,55,0,0,1,52,172,182,560,419,22147,9.0,0.0,84.0,8.0,0.0,116.0,149.0,0.0,28.0,193.0,182.0,556.0,513.0,664.0
51,0,0,160,49,54,0,0,2,42,164,187,582,428,24147,0.0,0.0,49.0,1.0,0.0,118.0,149.0,0.0,25.0,190.0,182.0,566.0,525.0,666.0
41,0,0,136,36,35,0,0,0,42,172,186,571,423,26147,0.0,0.0,41.0,0.0,0.0,124.0,151.0,0.0,28.0,189.0,181.0,562.0,528.0,677.0
43,0,0,129,31,31,0,0,0,36,170,185,593,428,28147,0.0,0.0,60.0,0.0,0.0,126.0,158.0,0.0,31.0,195.0,199.0,586.0,550.0,684.0
47,0,0,128,27,28,0,0,0,37,174,175,602,429,30146,0.0,0.0,88.0,12.0,0.0,123.0,164.0,0.0,36.0,208.0,216.0,613.0,586.0,689.0
63,0,0,129,31,27,0,0,0,38,179,185,622,434,32146,0.0,0.0,123.0,35.0,5.0,123.0,160.0,0.0,39.0,211.0,223.0,620.0,593.0,694.0
63,0,0,128,26,27,0,0,0,39,184,182,623,438,34147,0.0,0.0,157.0,55.0,3.0,122.0,151.0,0.0,42.0,218.0,223.0,604.0,575.0,688.0
61,0,0,133,24,21,0,0,0,39,181,179,610,435,36147,0.0,0.0,213.0,72.0,12.0,130.0,132.0,0.0,48.0,221.0,228.0,598.0,582.0,672.0
68,0,0,134,25,13,0,0,0,36,179,164,607,420,38147,0.0,0.0,251.0,84.0,25.0,143.0,134.0,0.0,60.0,220.0,232.0,596.0,583.0,656.0
70,0,0,151,31,10,0,0,0,27,173,160,608,418,40147,0.0,0.0,276.0,98.0,36.0,163.0,137.0,0.0,67.0,215.0,238.0,591.0,594.0,660.0
87,0,0,168,31,11,0,0,0,24,179,157,608,422,42147,0.0,0.0,283.0,98.0,39.0,168.0,135.0,0.0,56.0,210.0,236.0,584.0,595.0,652.0
99,0,0,183,35,10,0,0,0,25,176,155,612,418,44146,0.0,0.0,281.0,95.0,42.0,164.0,132.0,0.0,65.0,213.0,237.0,574.0,574.0,633.0
102,0,0,192,36,17,0,0,0,25,177,146,599,417,46146,4.0,0.0,276.0,96.0,38.0,166.0,138.0,0.0,62.0,217.0,224.0,567.0,546.0,622.0
106,0,0,200,44,18,0,0,0,29,173,134,579,401,48147,29.0,0.0,293.0,99.0,45.0,168.0,140.0,0.0,66.0,223.0,233.0,578.0,554.0,617.0
111,0,0,215,49,27,0,0,0,24,165,139,582,395,50147,41.0,0.0,304.0,98.0,45.0,178.0,151.0,0.0,79.0,239.0,244.0,588.0,571.0,639.0
124,0,0,214,57,30,0,0,0,32,176,152,600,410,52147,28.0,0.0,285.0,81.0,35.0,178.0,159.0,0.0,82.0,243.0,254.0,613.0,579.0,656.0
127,0,0,213,62,33,0,0,0,39,183,165,612,419,54147,9.0,0.0,267.0,68.0,38.0,174.0,158.0,0.0,71.0,247.0,259.0,641.0,598.0,676.0
105,0,0,199,52,32,0,0,0,39,179,171,612,425,56147,0.0,0.0,257.0,55.0,34.0,174.0,163.0,0.0,81.0,262.0,275.0,656.0,632.0,695.0
79,0,0,184,51,37,0,0,0,38,173,172,600,425,58146,0.0,0.0,250.0,59.0,35.0,179.0,164.0,0.0,77.0,256.0,283.0,679.0,659.0,725.0
53,0,0,169,41,33,0,0,0,43,159,159,568,416,60146,0.0,0.0,257.0,74.0,46.0,185.0,157.0,0.0,84.0,260.0,290.0,702.0,706.0,754.0
21,0,0,167,36,25,0,0,0,43,131,141,514,382,62147,0.0,0.0,260.0,73.0,38.0,192.0,164.0,0.0,91.0,265.0,296.0,728.0,734.0,792.0
0,0,0,170,44,22,0,0,0,39,103,125,461,334,64147,0.0,0.0,251.0,85.0,49.0,197.0,163.0,0.0,89.0,277.0,299.0,744.0,752.0,833.0
0,0,0,170,39,24,0,0,0,31,70,100,384,292,66147,0.0,0.0,238.0,90.0,55.0,198.0,157.0,0.0,84.0,294.0,296.0,776.0,763.0,848.0
0,0,0,168,32,19,0,0,0,30,49,64,319,243,68147,0.0,0.0,229.0,96.0,56.0,206.0,170.0,0.0,92.0,301.0,288.0,797.0,772.0,874.0
0,0,0,185,33,10,0,0,0,20,13,31,250,186,70146,0.0,0.0,229.0,96.0,60.0,211.0,179.0,0.0,95.0,309.0,283.0,817.0,766.0,893.0
0,0,0,203,38,13,0,0,0,10,0,2,189,120,72146,0.0,0.0,230.0,96.0,63.0,210.0,172.0,0.0,96.0,332.0,290.0,819.0,756.0,898.0
0,0,0,211,43,18,0,0,0,3,0,0,112,37,74146,0.0,0.0,228.0,100.0,68.0,218.0,173.0,0.0,103.0,335.0,278.0,825.0,733.0,881.0
0,0,0,215,48,17,0,0,0,0,0,0,28,0,76147,0.0,0.0,248.0,103.0,80.0,229.0,183.0,0.0,114.0,353.0,268.0,811.0,686.0,859.0
13,0,0,219,47,20,0,0,0,0,0,0,0,0,78147,0.0,0.0,290.0,111.0,93.0,236.0,185.0,0.0,124.0,364.0,266.0,799.0,656.0,822.0
44,0,0,211,44,18,0,0,0,0,0,0,0,0,80147,28.0,0.0,329.0,121.0,112.0,245.0,166.0,0.0,141.0,359.0,292.0,796.0,672.0,804.0
85,0,0,210,36,13,0,0,0,0,0,0,0,0,82147,58.0,0.0,342.0,132.0,120.0,252.0,162.0,0.0,151.0,352.0,303.0,792.0,668.0,793.0
118,0,0,188,13,0,0,0,0,0,0,0,0,0,84146,71.0,0.0,355.0,146.0,131.0,258.0,160.0,0.0,150.0,343.0,296.0,760.0,619.0,754.0
147,0,0,138,0,1,0,0,0,0,0,0,0,0,86146,77.0,0.0,375.0,152.0,135.0,265.0,170.0,0.0,157.0,353.0,283.0,740.0,579.0,700.0
85,0,0,64,0,0,0,0,0,0,0,0,0,0,88147,95.0,0.0,397.0,160.0,144.0,269.0,181.0,0.0,175.0,376.0,290.0,698.0,507.0,612.0
0,0,0,5,0,0,0,0,0,0,0,0,0,0,90147,125.0,0.0,435.0,174.0,160.0,283.0,190.0,0.0,182.0,360.0,298.0,656.0,462.0,543.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,92147,171.0,0.0,450.0,191.0,174.0,288.0,185.0,0.0,190.0,361.0,308.0,643.0,457.0,491.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,94147,210.0,0.0,461.0,196.0,185.0,294.0,189.0,0.0,201.0,366.0,310.0,595.0,400.0,430.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,96147,222.0,0.0,487.0,207.0,199.0,313.0,213.0,0.0,204.0,378.0,267.0,535.0,296.0,344.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,98146,248.0,0.0,514.0,213.0,215.0,339.0,234.0,0.0,211.0,399.0,208.0,458.0,187.0,244.0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,100146,284.0,14.0,523.0,217.0,225.0,363.0,264.0,0.0,212.0,413.0,170.0,401.0,102.0,170.0
39,0,0,0,0,0,0,0,0,0,0,0,0,0,102147,335.0,38.0,538.0,223.0,243.0,384.0,290.0,0.0,223.0,424.0,131.0,351.0,50.0,94.0
40,0,0,0,0,0,0,0,0,0,0,0,0,0,104147,388.0,52.0,534.0,251.0,254.0,401.0,309.0,0.0,217.0,410.0,77.0,297.0,5.0,28.0
44,0,0,0,0,0,0,0,0,0,0,0,0,0,106147,452.0,68.0,523.0,263.0,275.0,419.0,330.0,0.0,212.0,403.0,12.0,208.0,0.0,0.0
55,0,0,0,0,0,0,0,0,0,0,0,0,0,108147,539.0,116.0,508.0,270.0,288.0,439.0,354.0,0.0,192.0,388.0,0.0,86.0,0.0,0.0
67,0,0,0,0,0,0,0,0,0,0,0,0,0,110147,621.0,162.0,495.0,300.0,309.0,458.0,360.0,0.0,135.0,318.0,0.0,0.0,0.0,0.0
87,0,0,0,0,0,0,0,0,0,0,0,0,0,112146,704.0,199.0,474.0,339.0,335.0,469.0,346.0,0.0,46.0,213.0,0.0,0.0,0.0,0.0
111,0,0,0,0,0,0,0,0,0,0,0,0,0,114146,799.0,234.0,434.0,384.0,357.0,441.0,288.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0
