Sen1_L,Sen2_L,Sen3_L,Sen4_L,Sen5_L,Sen6_L,Sen7_L,Sen8_L,Sen9_L,Sen10_L,Sen11_L,Sen12_L,Sen13_L,Sen14_L,CLK,Sen1_R,Sen2_R,Sen3_R,Sen4_R,Sen5_R,Sen6_R,Sen7_R,Sen8_R,Sen9_R,Sen10_R,Sen11_R,Sen12_R,Sen13_R,Sen14_R
260,0,170,209,103,144,150,0,57,197,217,372,368,437,2146,387.0,0.0,389.0,175.0,79.0,127.0,67.0,0.0,48.0,100.0,139.0,284.0,178.0,245.0
267,0,180,223,112,148,148,0,55,191,214,378,363,443,4146,381.0,0.0,381.0,169.0,71.0,122.0,62.0,0.0,40.0,93.0,135.0,267.0,172.0,238.0
271,0,181,230,114,148,142,0,52,186,214,374,357,429,6146,369.0,0.0,372.0,172.0,67.0,115.0,58.0,0.0,36.0,86.0,126.0,259.0,177.0,243.0
269,0,181,225,108,147,141,0,56,185,216,365,362,423,8146,349.0,0.0,370.0,166.0,66.0,114.0,55.0,0.0,35.0,82.0,129.0,262.0,187.0,260.0
273,0,182,220,112,145,141,0,60,192,224,360,364,424,10146,345.0,0.0,368.0,167.0,63.0,107.0,46.0,0.0,25.0,79.0,125.0,273.0,200.0,270.0
273,0,188,216,109,148,141,0,60,190,223,363,360,428,12146,325.0,0.0,360.0,162.0,54.0,103.0,48.0,0.0,16.0,70.0,126.0,272.0,206.0,278.0
279,0,193,215,111,148,139,0,60,189,230,358,357,433,14146,310.0,0.0,354.0,159.0,51.0,94.0,46.0,0.0,16.0,66.0,128.0,276.0,214.0,293.0
284,0,200,224,116,151,134,0,56,179,220,353,360,415,16146,300.0,0.0,348.0,153.0,44.0,92.0,39.0,0.0,12.0,70.0,134.0,275.0,223.0,302.0
305,0,203,225,112,147,124,0,50,176,230,342,345,389,18146,291.0,0.0,340.0,156.0,46.0,96.0,47.0,0.0,16.0,63.0,139.0,277.0,243.0,318.0
309,0,199,224,106,148,116,0,54,166,229,326,334,380,20146,293.0,0.0,347.0,160.0,46.0,91.0,36.0,0.0,12.0,65.0,155.0,289.0,266.0,340.0
322,0,199,225,107,142,103,0,45,157,225,322,346,373,22146,287.0,0.0,330.0,161.0,43.0,92.0,41.0,0.0,12.0,58.0,162.0,290.0,275.0,353.0
318,0,191,219,100,135,94,0,44,147,235,333,376,402,24146,286.0,0.0,335.0,164.0,42.0,89.0,33.0,0.0,6.0,55.0,162.0,293.0,295.0,355.0
305,0,177,218,98,136,94,0,42,141,238,335,393,440,26146,285.0,0.0,322.0,160.0,31.0,79.0,26.0,0.0,6.0,55.0,163.0,287.0,304.0,367.0
294,0,164,204,87,127,93,0,40,132,235,332,405,449,28146,290.0,0.0,314.0,170.0,36.0,77.0,27.0,0.0,0.0,41.0,166.0,292.0,335.0,376.0
299,0,157,197,85,119,80,0,33,129,234,323,413,439,30146,304.0,0.0,312.0,178.0,36.0,68.0,12.0,0.0,0.0,40.0,187.0,292.0,362.0,410.0
296,0,139,201,79,111,73,0,33,118,236,322,434,461,32146,316.0,0.0,300.0,185.0,39.0,64.0,7.0,0.0,0.0,29.0,204.0,298.0,390.0,427.0
297,0,126,192,77,103,69,0,29,123,251,328,465,486,34146,314.0,0.0,287.0,189.0,36.0,57.0,3.0,0.0,2.0,24.0,206.0,291.0,412.0,439.0
296,0,116,190,75,102,70,0,24,117,251,333,500,513,36146,326.0,0.0,282.0,194.0,39.0,57.0,0.0,0.0,0.0,25.0,217.0,302.0,439.0,442.0
302,0,108,185,75,95,67,0,19,123,259,343,514,515,38146,341.0,0.0,278.0,194.0,36.0,54.0,0.0,0.0,3.0,24.0,235.0,312.0,471.0,462.0
292,0,100,184,70,96,68,0,19,117,256,340,517,528,40146,346.0,0.0,277.0,210.0,41.0,56.0,0.0,0.0,15.0,21.0,250.0,324.0,511.0,497.0
302,0,93,181,70,86,55,0,14,109,260,339,529,522,42146,354.0,0.0,277.0,207.0,48.0,58.0,0.0,0.0,6.0,19.0,259.0,327.0,536.0,498.0
300,0,77,189,62,78,45,0,9,96,253,321,523,522,44146,357.0,0.0,264.0,200.0,37.0,48.0,0.0,0.0,9.0,22.0,264.0,326.0,539.0,488.0
304,0,73,203,62,72,31,0,2,83,250,316,539,523,46146,364.0,0.0,262.0,204.0,39.0,49.0,0.0,0.0,7.0,20.0,264.0,328.0,540.0,491.0
313,0,63,207,59,69,20,0,0,73,240,307,545,522,48146,351.0,0.0,253.0,207.0,39.0,52.0,0.0,0.0,9.0,22.0,267.0,320.0,554.0,504.0
311,0,55,214,55,57,9,0,0,68,237,290,541,525,50146,377.0,0.0,253.0,209.0,40.0,52.0,0.0,0.0,9.0,21.0,280.0,325.0,576.0,503.0
306,0,44,213,49,45,0,0,0,70,237,273,530,504,52146,361.0,0.0,240.0,194.0,32.0,49.0,0.0,0.0,10.0,22.0,281.0,334.0,579.0,514.0
297,0,41,206,47,41,0,0,0,64,236,264,514,486,54146,344.0,0.0,237.0,174.0,24.0,55.0,0.0,0.0,10.0,20.0,282.0,335.0,593.0,526.0
302,0,43,213,49,44,0,0,0,63,230,273,530,496,56146,331.0,0.0,229.0,160.0,24.0,56.0,0.0,0.0,15.0,27.0,286.0,351.0,604.0,545.0
302,0,36,207,46,47,0,0,0,68,259,285,555,528,58146,322.0,0.0,230.0,146.0,25.0,65.0,4.0,0.0,24.0,33.0,307.0,379.0,638.0,578.0
301,0,35,192,46,46,0,0,1,72,275,307,577,540,60146,301.0,0.0,235.0,131.0,23.0,67.0,3.0,0.0,30.0,41.0,317.0,406.0,681.0,606.0
