Sen1_L,Sen2_L,Sen3_L,Sen4_L,Sen5_L,Sen6_L,Sen7_L,Sen8_L,Sen9_L,Sen10_L,Sen11_L,Sen12_L,Sen13_L,Sen14_L,CLK,Sen1_R,Sen2_R,Sen3_R,Sen4_R,Sen5_R,Sen6_R,Sen7_R,Sen8_R,Sen9_R,Sen10_R,Sen11_R,Sen12_R,Sen13_R,Sen14_R
33,0,166,128,76,107,10,0,28,126,206,296,581,456,2141,28,0,228,124,13,42,0,0,0,20,190,305,433,486
12,0,182,120,76,116,24,0,36,123,201,305,571,454,4142,41,0,218,131,7,32,0,0,0,19,211,298,450,482
2,0,191,99,66,116,30,0,41,141,202,318,562,448,6142,51,0,220,160,24,36,0,0,0,9,224,305,475,488
12,0,219,91,68,120,25,0,41,142,213,332,569,444,8142,63,0,218,172,26,39,0,0,0,13,243,302,497,490
29,0,251,98,75,126,27,0,45,137,223,337,587,446,10142,81,0,221,185,33,37,0,0,0,15,260,312,530,482
49,0,268,107,75,120,20,0,60,139,230,323,581,431,12142,116,0,231,190,34,44,0,0,0,13,280,319,552,495
55,0,278,120,77,122,23,0,55,142,228,322,555,408,14141,170,0,252,201,41,50,0,0,5,15,302,325,593,512
72,0,281,124,86,117,24,0,56,151,227,314,511,375,16141,244,0,270,211,44,55,0,0,10,20,325,339,629,526
94,0,293,140,94,131,22,0,57,139,220,318,512,365,18142,296,0,280,225,42,57,0,0,15,21,325,335,627,551
124,0,295,150,97,126,13,0,58,141,223,306,506,362,20142,368,0,284,245,54,63,0,0,21,21,336,346,653,535
139,0,296,149,93,119,10,0,60,143,224,297,499,346,22142,407,0,284,257,61,70,0,0,23,23,342,345,648,524
135,0,293,146,89,116,14,0,63,140,217,279,466,332,24142,414,0,279,256,62,70,0,0,24,24,349,346,663,531
127,0,293,135,91,124,21,0,64,137,211,276,455,315,26142,428,0,274,250,63,66,0,0,24,25,361,353,682,532
131,0,294,120,84,115,12,0,54,137,213,281,471,312,28141,440,0,271,253,61,68,0,0,26,24,361,358,705,544
119,0,281,91,65,109,16,0,55,132,221,279,473,339,30141,452,0,258,261,63,66,0,0,28,28,375,361,734,542
118,0,278,82,63,103,10,0,53,128,235,283,503,362,32142,461,0,259,276,72,67,0,0,28,22,397,365,750,568
