Sen1_L,Sen2_L,Sen3_L,Sen4_L,Sen5_L,Sen6_L,Sen7_L,Sen8_L,Sen9_L,Sen10_L,Sen11_L,Sen12_L,Sen13_L,Sen14_L,CLK,Sen1_R,Sen2_R,Sen3_R,Sen4_R,Sen5_R,Sen6_R,Sen7_R,Sen8_R,Sen9_R,Sen10_R,Sen11_R,Sen12_R,Sen13_R,Sen14_R
335,0,192,196,94,135,58,0,28,112,168,247,353,332,2143,506,0,401,245,147,192,102,0,72,147,158,352,229,329
340,0,201,206,98,133,50,0,32,105,170,231,349,325,4143,550,1,401,262,157,200,101,0,83,162,163,326,205,291
354,0,206,205,100,135,50,0,32,111,169,228,322,302,6142,570,7,402,276,172,211,108,0,90,162,172,315,194,260
361,0,214,211,105,135,55,0,36,109,160,218,293,280,8142,587,18,403,287,183,215,109,0,94,168,164,305,172,242
360,0,225,210,107,141,56,0,31,106,142,211,259,256,10142,587,14,406,293,189,227,118,0,89,160,161,297,160,225
364,0,235,210,110,144,52,0,25,105,141,201,247,234,12142,596,25,404,290,190,230,121,0,97,174,166,298,161,216
366,0,232,217,109,141,47,0,25,97,136,192,233,229,14143,595,24,406,289,192,230,129,0,106,177,165,314,164,216
388,0,239,219,110,133,36,0,26,96,141,185,227,206,16143,593,28,412,287,188,233,133,0,111,182,174,312,170,220
391,0,243,225,112,133,33,0,21,94,133,176,213,197,18142,599,35,409,282,189,232,133,0,109,187,172,302,158,205
388,0,241,223,109,127,30,0,21,87,123,158,186,173,20142,598,40,415,287,196,234,130,0,107,184,153,291,129,179
391,0,251,230,110,132,29,0,15,82,114,155,169,155,22142,593,44,416,288,197,238,137,0,105,189,149,291,121,159
397,0,251,233,116,135,29,0,16,81,112,143,166,149,24142,597,50,424,290,202,240,136,0,109,194,153,301,133,157
396,0,248,230,111,129,31,0,21,84,111,141,157,145,26142,596,49,427,289,197,245,143,0,115,201,157,319,139,171
389,0,259,238,118,135,30,0,15,75,94,141,157,136,28143,599,58,434,284,203,251,147,0,114,206,153,305,114,153
396,0,265,235,116,135,27,0,11,70,96,135,144,129,30143,603,65,434,289,211,255,151,0,121,204,143,297,89,126
402,0,262,237,112,131,28,0,16,77,107,145,149,144,32142,613,73,432,297,212,259,152,0,128,212,162,300,93,141
409,0,267,246,112,126,22,0,17,77,120,149,175,164,34142,617,76,428,299,218,263,160,0,141,218,170,326,111,157
444,0,267,253,118,124,15,0,21,82,131,152,197,163,36142,630,88,436,294,225,275,165,0,143,231,172,328,104,147
463,0,270,264,120,128,16,0,19,77,125,145,183,160,38142,636,96,439,297,233,284,173,0,146,241,165,317,84,137
491,0,277,282,135,135,16,0,17,72,123,144,164,135,40142,651,106,437,309,245,296,185,0,158,243,151,312,63,107
505,0,276,293,129,133,15,0,11,64,114,115,128,114,42143,674,121,444,323,256,302,187,0,153,240,128,276,25,63
522,0,293,297,133,132,8,0,11,63,109,111,135,105,44143,689,130,440,334,273,318,196,0,151,234,99,234,0,22
517,0,286,296,131,135,24,0,16,68,113,120,152,135,46142,716,137,442,342,276,320,190,0,151,234,80,215,0,3
522,0,288,291,135,133,24,0,12,77,126,135,179,162,48142,720,138,441,345,283,322,190,0,151,224,78,219,0,3
508,0,295,286,134,137,31,0,12,77,124,140,189,169,50142,715,140,440,335,275,321,195,0,157,227,81,213,0,12
487,0,290,284,131,139,46,0,15,80,118,141,194,181,52142,714,129,444,335,277,315,187,0,154,226,103,237,8,30
473,0,287,273,122,133,53,0,16,79,113,151,204,207,54142,689,110,439,313,253,300,180,0,153,240,157,290,57,91
447,0,278,257,121,137,60,0,16,86,110,155,216,229,56143,639,72,434,278,208,264,168,0,145,235,207,358,135,187
419,0,276,244,111,131,60,0,12,85,109,182,228,249,58143,571,25,418,227,151,234,158,0,137,209,241,420,248,329
398,0,271,223,99,115,57,0,13,96,106,187,241,258,60142,514,0,399,171,110,210,138,0,111,199,249,477,369,467
360,0,264,213,91,112,57,0,10,96,94,183,235,276,62142,462,0,364,124,84,190,122,0,88,183,253,507,457,591
329,0,264,194,92,120,60,0,10,94,73,176,202,244,64142,421,0,322,93,70,156,107,0,74,161,248,517,524,658
289,0,267,178,93,117,71,0,8,101,41,147,131,183,66142,381,0,297,89,63,139,100,0,63,154,235,527,559,712
262,0,277,170,101,127,72,0,3,103,5,109,51,98,68142,335,0,292,98,57,131,101,0,57,152,223,523,581,750
247,0,287,157,99,131,75,0,0,93,0,41,0,7,70143,295,0,293,116,65,131,93,0,48,156,217,538,602,764
237,0,290,155,100,141,79,0,0,63,0,0,0,0,72142,258,0,289,138,70,147,97,0,53,165,203,561,596,815
240,0,270,152,92,133,54,0,0,18,0,0,0,0,74142,245,0,300,147,82,162,105,0,60,181,202,583,595,820
239,0,201,141,73,107,5,0,0,0,0,0,0,0,76142,231,0,304,151,87,170,117,0,63,200,196,596,570,822
207,0,75,120,19,75,0,0,0,0,0,0,0,0,78142,228,0,299,149,95,176,120,0,68,224,185,609,546,813
132,0,0,101,0,49,0,0,0,0,0,0,0,0,80142,216,0,290,147,93,181,135,0,74,245,176,629,539,801
