Sen1_L,Sen2_L,Sen3_L,Sen4_L,Sen5_L,Sen6_L,Sen7_L,Sen8_L,Sen9_L,Sen10_L,Sen11_L,Sen12_L,Sen13_L,Sen14_L,CLK,Sen1_R,Sen2_R,Sen3_R,Sen4_R,Sen5_R,Sen6_R,Sen7_R,Sen8_R,Sen9_R,Sen10_R,Sen11_R,Sen12_R,Sen13_R,Sen14_R
193,17,279,185,37,56,10,0,0,80,396,377,524,472,2139,237,0,356,177,38,63,7,0,0,68,186,385,290,499
207,19,275,197,39,52,0,0,0,61,401,369,535,455,4139,248,0,359,181,41,68,9,0,0,68,193,393,302,509
210,25,271,197,37,47,0,0,0,60,401,349,523,435,6140,252,0,362,188,46,69,8,0,0,65,196,399,311,502
209,30,271,197,32,47,0,0,0,61,401,325,500,408,8140,251,0,362,193,49,76,13,0,0,60,194,393,311,500
221,30,272,205,35,46,0,0,0,58,398,315,504,384,10139,264,0,365,195,50,71,2,0,0,63,203,399,320,507
239,36,276,223,40,52,0,0,0,60,389,297,466,353,12139,267,0,366,206,48,73,7,0,9,60,213,405,331,514
259,47,281,229,42,49,0,0,0,58,381,277,436,312,14139,284,0,376,206,53,79,8,0,19,71,233,417,336,511
263,51,282,238,46,51,0,0,0,52,349,259,391,287,16139,295,8,390,215,65,91,16,0,22,74,237,419,333,499
265,60,294,235,49,55,0,0,0,50,335,240,365,253,18139,306,22,390,218,69,97,25,0,36,93,250,406,305,456
262,67,305,245,54,63,0,0,0,57,303,232,314,226,20139,346,48,409,242,89,122,38,0,46,103,255,404,283,402
273,78,315,245,61,75,0,0,0,63,286,214,279,194,22140,382,67,412,266,111,142,52,0,62,116,258,386,268,351
291,89,322,245,63,77,0,0,0,72,264,193,242,167,24139,416,86,415,272,124,151,61,0,84,130,269,364,235,315
316,79,328,249,76,79,0,0,0,72,248,197,214,149,26139,439,105,419,287,139,170,72,0,85,133,245,332,201,252
330,84,325,244,66,82,5,0,0,63,245,179,199,137,28139,466,116,425,305,156,179,75,0,80,137,218,312,156,203
339,79,326,245,67,79,7,0,1,63,230,176,179,124,30139,484,130,419,312,160,182,77,0,92,139,217,299,136,181
339,82,328,251,65,85,11,0,6,68,237,176,185,128,32139,495,130,425,328,179,197,79,0,98,135,225,309,135,186
351,86,337,253,75,93,11,0,10,67,243,189,185,129,34140,509,136,428,329,183,196,79,0,99,140,226,303,146,173
349,97,343,253,77,100,18,0,12,73,240,189,173,122,36140,520,138,426,331,188,199,73,0,95,140,217,287,122,155
355,105,345,247,75,94,19,0,10,77,236,177,156,104,38139,518,139,422,339,189,202,75,0,94,135,215,269,109,127
355,102,352,257,82,98,16,0,3,65,215,174,145,86,40139,522,137,418,349,195,204,80,0,103,141,213,266,103,137
348,102,350,259,76,101,24,0,8,67,221,171,151,107,42139,541,145,421,349,199,204,78,0,105,145,245,308,141,168
346,102,348,258,74,101,24,0,13,72,240,188,174,123,44139,524,135,419,350,196,208,89,0,116,141,265,332,172,211
343,98,346,248,71,94,19,0,7,73,253,189,181,128,46139,525,129,424,345,197,210,83,0,114,140,280,359,185,235
329,100,339,236,61,84,14,0,0,62,238,181,185,122,48140,519,128,418,335,188,196,79,0,116,143,306,397,240,287
303,71,345,223,57,70,2,0,0,51,216,162,181,117,50139,491,103,411,332,175,192,82,0,127,139,368,461,355,411
273,50,325,191,49,57,0,0,0,47,194,154,166,111,52139,467,82,409,315,157,184,76,0,112,143,416,529,467,529
220,12,295,155,27,52,4,0,0,39,168,130,142,105,54139,447,52,415,291,141,174,73,0,111,141,436,574,562,627
186,0,241,128,25,60,0,0,0,31,128,112,109,87,56139,409,39,412,277,116,166,84,0,114,142,436,626,629,719
175,0,183,122,21,54,0,0,0,21,79,73,71,53,58139,383,17,417,259,106,159,84,0,103,147,438,671,676,790
206,0,131,132,17,63,8,0,0,0,24,24,31,10,60139,358,1,416,245,96,150,83,0,100,157,439,688,711,836
251,0,106,157,24,62,8,0,0,0,0,0,0,0,62140,344,0,414,239,98,160,94,0,116,169,456,701,722,864
287,0,85,176,28,62,7,0,0,0,0,0,0,0,64139,345,3,423,251,109,167,90,0,119,177,456,716,711,862
314,0,75,184,34,63,2,0,0,0,0,0,0,0,66139,353,8,422,267,122,166,83,0,123,183,460,712,710,856
333,0,82,191,22,61,0,0,0,0,0,0,0,0,68139,357,12,410,270,129,164,79,0,128,183,466,694,695,849
339,0,89,190,2,44,0,0,0,0,0,0,0,0,70139,360,8,410,273,131,160,65,0,118,185,450,707,680,823
312,0,96,177,0,27,0,0,0,0,0,0,0,0,72139,352,0,410,275,128,156,60,0,111,181,450,689,668,822
262,0,63,145,0,0,0,0,0,0,0,0,0,0,74139,343,0,404,272,126,151,54,0,106,174,439,677,641,811
150,0,28,96,0,0,0,0,0,0,0,0,0,0,76140,327,0,399,269,125,155,61,0,105,168,423,674,628,804
96,0,13,39,0,0,0,0,0,0,0,0,0,0,78139,316,0,387,267,128,153,59,0,103,177,418,664,618,808
79,0,24,0,0,0,0,0,0,0,0,0,0,0,80139,314,0,377,260,120,155,67,0,103,176,410,669,615,798
47,0,14,0,0,0,0,0,0,0,0,0,0,0,82139,315,0,378,260,124,156,70,0,109,186,409,643,588,778
41,0,8,0,0,0,0,0,0,0,0,0,0,0,84139,318,0,393,262,131,166,76,0,114,194,389,638,559,713
50,0,7,0,0,0,0,0,0,0,0,0,0,0,86139,313,0,398,261,130,175,83,0,122,204,381,616,514,672
62,0,5,0,0,0,0,0,0,0,0,0,0,0,88140,331,0,403,270,150,192,101,0,129,206,390,606,481,625
80,0,1,0,0,0,0,0,0,0,0,0,0,0,90140,352,0,422,285,165,208,112,0,143,223,375,593,441,555
89,0,2,0,0,0,0,0,0,0,0,0,0,0,92139,384,36,442,296,190,233,127,0,157,247,349,539,354,441
103,0,7,0,0,0,0,0,0,0,0,0,0,0,94139,420,72,448,312,215,262,144,0,163,264,322,486,269,342
108,0,5,0,0,0,0,0,0,0,0,0,0,0,96139,453,105,450,323,232,276,164,0,182,276,291,433,185,268
124,0,9,0,0,0,0,0,0,0,0,0,0,0,98139,486,137,455,342,255,293,176,0,187,278,257,386,131,190
131,0,12,0,0,0,0,0,0,0,0,0,0,0,100139,516,165,456,364,278,315,193,0,190,284,201,319,55,117
139,0,12,0,0,0,0,0,0,0,0,0,0,0,102140,556,199,451,387,304,339,209,0,176,270,84,211,0,3
137,0,12,0,0,0,0,0,0,0,0,0,0,0,104140,609,233,459,404,335,368,217,0,128,244,0,44,0,0
150,0,14,0,0,0,0,0,0,0,0,0,0,0,106139,659,262,445,429,348,381,227,0,52,167,0,0,0,0
167,0,10,0,0,0,0,0,0,0,0,0,0,0,108139,717,277,439,461,361,392,215,0,0,58,0,0,0,0
181,0,10,0,0,0,0,0,0,0,0,0,0,0,110139,776,299,425,488,346,375,192,0,0,0,0,0,0,0
167,0,17,0,0,0,0,0,0,0,0,0,0,0,112139,830,324,414,515,316,343,143,0,0,0,0,0,0,0
131,0,8,0,0,0,0,0,0,0,0,0,0,0,114139,879,334,413,545,281,283,75,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0,34,137,116140,930,324,383,572,223,186,0,0,0,0,0,0,0,0
7,0,0,0,0,0,2,0,0,0,108,281,539,680,118139,985,284,355,612,149,67,0,0,0,0,0,0,0,0
16,0,183,0,0,129,98,0,21,108,333,427,618,587,122139,928,0,294,477,0,0,0,0,0,0,0,0,0,0
0,85,305,24,63,126,68,0,62,134,423,498,720,655,124139,554,0,311,332,0,0,0,0,0,0,0,0,0,0
27,139,337,105,79,147,86,0,98,194,476,573,774,701,126139,351,0,235,201,0,0,0,0,0,0,0,0,0,0
26,215,400,143,99,190,138,0,142,257,479,604,687,640,128139,253,0,194,114,0,0,0,0,0,0,0,0,0,0
24,269,460,153,126,240,199,0,174,324,436,619,566,547,130140,235,0,176,99,0,0,0,0,0,0,0,0,0,0
16,307,504,149,136,267,245,0,196,384,370,577,410,440,132139,245,0,161,89,0,0,0,0,0,0,0,0,0,0
17,318,558,135,148,296,304,0,199,451,294,549,280,328,134139,261,0,153,77,0,0,0,0,0,0,0,0,0,0
9,328,613,117,145,322,371,0,181,522,203,476,139,210,136139,281,0,145,68,0,0,0,0,0,0,0,0,0,0
0,337,641,107,140,327,439,0,163,555,109,383,26,78,138139,289,0,139,55,0,0,0,0,0,0,0,0,0,0
0,339,684,113,138,353,486,0,145,541,35,287,0,2,140139,293,0,135,52,0,0,0,0,0,0,0,0,0,0
16,335,698,116,144,368,528,0,138,517,0,211,0,0,142140,310,0,131,44,0,0,0,0,0,0,0,0,0,0
68,312,702,122,157,397,555,0,145,483,0,127,0,0,144140,317,0,126,41,0,0,0,0,0,0,0,0,0,0
184,299,682,142,185,440,558,0,139,424,0,30,0,0,146139,328,0,120,31,0,0,0,0,0,0,0,0,0,0
308,287,636,170,211,476,549,0,121,330,0,0,0,0,148139,352,0,120,22,0,0,0,0,0,0,0,0,0,0
430,279,597,196,239,518,542,0,73,251,0,0,0,0,150139,363,0,108,11,0,0,0,0,0,0,0,0,0,0
514,302,557,225,266,539,520,0,0,155,0,0,0,0,152139,383,0,112,5,0,0,0,0,0,0,0,0,0,0
582,334,535,264,293,551,475,0,0,53,0,0,0,0,154139,392,0,105,0,0,0,0,0,0,0,0,0,0,0
651,358,500,322,328,548,408,0,0,0,0,0,0,0,156140,409,0,107,0,0,0,0,0,0,0,0,0,0,0
718,372,472,375,356,537,316,0,0,0,0,0,0,0,158139,410,0,102,0,0,0,0,0,0,0,0,0,0,0
765,362,444,426,361,500,225,0,0,0,0,0,0,0,160139,417,0,105,0,0,0,0,0,0,0,0,0,0,0
801,303,431,456,377,442,153,0,0,0,0,0,0,0,162139,382,0,100,0,0,0,0,0,0,0,0,0,0,21
801,208,410,436,346,374,109,0,0,0,0,0,0,0,164139,335,0,102,0,0,0,0,0,0,0,0,65,625,1443
806,64,352,342,219,221,27,0,0,0,0,0,0,0,166139,251,0,95,0,0,0,42,0,0,0,93,499,617,1329
