Sen1_L,Sen2_L,Sen3_L,Sen4_L,Sen5_L,Sen6_L,Sen7_L,Sen8_L,Sen9_L,Sen10_L,Sen11_L,Sen12_L,Sen13_L,Sen14_L,CLK,Sen1_R,Sen2_R,Sen3_R,Sen4_R,Sen5_R,Sen6_R,Sen7_R,Sen8_R,Sen9_R,Sen10_R,Sen11_R,Sen12_R,Sen13_R,Sen14_R
217,37,398,190,116,201,143,0,98,229,186,320,185,240,2142,455,26,415,191,85,133,39,0,22,103,153,339,149,290
215,27,397,198,120,200,140,0,93,220,177,320,184,241,4141,453,27,415,190,84,133,42,0,23,105,164,349,162,309
217,29,391,196,118,194,134,0,90,220,183,313,189,239,6141,450,26,414,189,84,133,43,0,25,107,170,359,172,322
216,22,389,199,120,194,130,0,86,212,181,318,193,247,8141,445,25,413,188,84,131,44,0,24,105,171,359,177,331
213,20,386,192,111,187,123,0,79,206,183,314,205,257,10141,439,22,411,182,82,130,42,0,24,102,172,364,185,340
199,12,367,186,101,179,124,0,79,203,188,318,212,279,12141,439,22,412,185,82,128,39,0,22,100,176,372,192,348
197,7,360,186,102,172,120,0,80,202,184,324,217,288,14142,440,24,415,191,84,131,42,0,24,100,177,378,199,349
200,9,369,189,106,181,120,0,76,197,177,318,212,278,16142,449,30,415,189,82,130,42,0,28,107,186,376,198,349
203,12,364,189,104,175,114,0,74,194,178,308,203,266,18141,449,31,419,194,87,134,43,0,28,104,184,377,197,345
197,3,360,196,105,177,111,0,69,182,172,308,207,276,20141,445,28,418,194,87,135,45,0,28,102,183,371,196,346
193,0,354,191,102,173,109,0,70,180,178,312,221,293,22141,438,30,413,192,84,132,46,0,33,103,185,372,201,347
179,0,343,188,98,164,103,0,57,172,180,320,234,317,24141,445,27,419,197,87,137,45,0,30,103,190,376,210,357
167,0,330,177,91,156,97,0,51,170,182,318,243,328,26141,446,29,415,192,85,134,44,0,32,102,194,382,214,364
166,0,326,174,89,147,97,0,52,165,181,314,240,318,28142,444,27,412,191,85,131,41,0,27,100,201,387,228,371
172,0,331,184,93,155,100,0,58,169,181,312,240,312,30142,437,20,413,193,89,134,41,0,21,96,198,394,234,388
189,0,334,185,92,154,94,0,59,170,194,313,248,322,32141,431,18,412,200,87,132,41,0,22,91,200,403,251,397
192,0,334,189,96,149,87,0,57,166,198,313,257,319,34141,429,15,408,199,85,130,39,0,23,89,207,404,270,414
189,0,326,187,90,147,84,0,54,154,193,305,253,324,36141,428,14,403,197,81,126,36,0,24,98,218,405,284,418
181,0,320,184,85,140,72,0,38,147,185,304,267,326,38141,422,15,404,194,79,120,35,0,22,97,218,423,299,437
170,0,302,180,82,129,68,0,33,137,180,305,277,334,40141,419,11,401,196,82,123,31,0,23,103,224,424,310,440
157,0,292,171,70,124,68,0,30,130,176,294,272,344,42142,422,10,407,204,85,125,28,0,21,91,224,426,309,431
154,0,293,176,75,124,63,0,21,122,171,297,276,339,44142,425,15,404,199,83,124,32,0,28,100,228,416,299,423
157,0,284,175,70,120,58,0,26,132,181,300,286,359,46141,429,15,409,208,89,128,35,0,33,98,237,424,318,437
160,0,276,179,72,114,50,0,20,126,189,312,318,368,48141,424,14,406,209,89,128,36,0,33,105,237,427,332,445
158,0,263,179,65,100,36,0,10,109,186,308,324,373,50141,420,13,397,202,82,122,33,0,33,101,240,435,336,450
149,0,251,185,62,91,24,0,2,91,187,301,336,394,52141,408,4,392,202,80,125,35,0,30,93,244,447,361,478
148,0,225,179,55,75,16,0,5,91,198,299,368,417,54141,388,0,396,198,83,124,33,0,30,99,262,486,418,531
145,0,218,181,55,73,7,0,0,87,208,317,399,439,56142,362,0,392,177,75,122,30,0,28,105,270,524,463,585
139,0,202,170,47,66,7,0,0,85,213,312,424,447,58142,311,0,394,145,62,120,44,0,31,114,265,561,489,622
