Sen1_L,Sen2_L,Sen3_L,Sen4_L,Sen5_L,Sen6_L,Sen7_L,Sen8_L,Sen9_L,Sen10_L,Sen11_L,Sen12_L,Sen13_L,Sen14_L,CLK,Sen1_R,Sen2_R,Sen3_R,Sen4_R,Sen5_R,Sen6_R,Sen7_R,Sen8_R,Sen9_R,Sen10_R,Sen11_R,Sen12_R,Sen13_R,Sen14_R
124,0,136,105,98,190,151,0,67,222,120,368,349,446,2146,200,3,428,149,78,157,81,0,58,150,172,380,308,435
142,0,160,113,101,196,153,0,73,226,122,361,337,425,4146,203,14,432,143,72,166,90,0,68,155,184,384,301,435
157,0,180,117,108,201,152,0,73,229,116,350,322,405,6146,206,19,443,145,78,179,103,0,83,169,179,379,283,415
173,0,185,122,114,203,152,0,74,227,117,345,298,390,8146,218,25,459,149,83,189,109,0,85,180,172,366,253,370
181,0,197,125,111,204,147,0,76,229,115,340,286,380,10146,236,36,466,151,91,206,122,0,85,185,175,346,223,334
183,0,192,131,107,200,151,0,82,243,107,328,281,366,12145,252,48,462,153,95,205,126,0,94,206,162,347,199,300
194,0,204,134,117,206,148,0,72,239,96,328,267,368,14145,261,52,464,152,96,212,128,0,94,197,165,335,188,290
196,0,204,133,112,203,147,0,75,221,107,317,265,353,16146,268,53,462,161,102,218,133,0,94,197,159,332,187,279
202,0,211,137,118,204,145,0,74,223,94,318,269,353,18146,273,55,462,165,103,209,126,0,95,202,149,311,166,264
208,0,206,140,112,203,145,0,80,227,94,308,259,337,20146,276,53,468,171,108,211,122,0,85,194,129,301,149,228
224,0,211,146,119,201,137,0,77,227,96,308,253,328,22146,284,57,457,167,105,206,116,0,81,183,124,281,130,220
241,0,209,153,119,204,138,0,84,230,110,312,264,345,24146,287,54,446,171,106,195,104,0,72,164,107,255,121,192
258,0,218,166,125,215,146,0,90,225,110,312,264,343,26145,283,39,436,180,107,185,89,0,61,146,100,248,122,194
293,0,230,177,129,216,141,0,93,223,110,305,243,308,28145,278,25,420,175,98,168,74,0,58,125,116,257,149,235
324,0,233,185,137,220,139,0,94,209,114,296,234,302,30146,264,4,406,169,82,156,67,0,49,116,133,274,188,286
360,0,243,194,143,224,135,0,98,207,130,298,245,300,32146,250,0,396,174,79,151,60,0,44,101,143,294,230,327
370,0,255,209,152,229,136,0,99,204,126,285,238,285,34146,234,0,384,170,75,139,59,0,47,111,151,309,256,364
376,0,256,211,147,223,135,0,95,204,128,288,241,284,36146,217,0,380,162,76,143,60,0,41,114,151,330,271,380
390,0,260,216,158,223,124,0,93,194,126,291,251,278,38145,197,0,366,153,68,138,67,0,39,129,157,342,284,395
398,0,262,215,155,226,121,0,89,181,113,270,224,252,40145,194,0,379,158,82,145,74,0,50,143,149,360,285,387
410,0,259,218,153,218,118,0,92,192,128,264,231,256,42145,210,0,396,157,82,155,80,0,67,162,162,370,294,389
