Sen1_L,Sen2_L,Sen3_L,Sen4_L,Sen5_L,Sen6_L,Sen7_L,Sen8_L,Sen9_L,Sen10_L,Sen11_L,Sen12_L,Sen13_L,Sen14_L,CLK,Sen1_R,Sen2_R,Sen3_R,Sen4_R,Sen5_R,Sen6_R,Sen7_R,Sen8_R,Sen9_R,Sen10_R,Sen11_R,Sen12_R,Sen13_R,Sen14_R
236,0,158,178,59,99,47,0,13,123,175,378,493,682,2146,131,0,87,91,14,35,0,0,0,34,181,317,397,404
241,0,160,176,61,93,38,0,10,116,171,365,513,672,4146,147,0,96,103,18,39,0,0,0,30,196,322,425,420
250,0,145,176,56,85,27,0,5,102,177,352,506,662,6146,174,0,109,110,24,38,0,0,0,36,212,335,450,422
257,0,135,183,56,78,13,0,4,91,175,348,522,661,8147,191,0,114,118,30,43,0,0,0,39,215,350,467,430
259,0,111,184,58,70,6,0,0,91,185,346,522,653,10146,195,0,113,116,27,50,0,0,0,41,234,351,477,442
254,0,94,185,55,65,1,0,0,86,175,339,514,646,12146,204,0,120,117,28,56,0,0,0,48,239,370,495,460
239,0,77,180,49,60,7,0,0,85,159,310,494,635,14146,218,0,124,129,35,68,0,0,0,54,256,387,522,493
223,0,63,179,49,58,3,0,0,70,141,292,471,609,16146,243,0,135,133,47,68,0,0,0,65,263,413,548,504
226,0,52,178,42,41,0,0,0,67,135,277,459,575,18146,251,0,147,131,45,81,3,0,3,75,277,428,559,512
215,0,35,181,39,31,0,0,0,61,131,255,450,569,20146,249,0,155,132,50,94,21,0,15,89,285,444,567,529
220,0,24,181,35,24,0,0,0,52,124,248,451,559,22147,273,0,172,132,58,98,25,0,25,104,300,450,563,521
213,0,22,183,34,25,0,0,0,45,121,240,440,555,24146,285,0,184,133,60,111,36,0,38,117,316,463,555,518
195,0,15,189,31,28,0,0,0,40,111,226,429,535,26146,293,0,197,137,70,123,34,0,41,122,325,474,569,519
190,0,9,177,32,20,0,0,0,44,99,214,403,508,28146,296,0,201,143,72,128,32,0,43,123,328,484,572,522
185,0,3,174,24,15,0,0,0,34,100,200,383,497,30146,302,0,200,143,77,126,30,0,43,126,327,490,574,514
191,0,0,183,28,10,0,0,0,28,83,197,384,486,32146,302,0,202,146,77,131,35,0,47,122,323,484,566,521
188,0,0,187,24,6,0,0,0,28,84,177,380,485,34146,310,0,203,151,79,127,33,0,51,122,343,488,583,522
186,0,0,185,22,2,0,0,0,25,88,174,366,462,36147,311,0,202,148,77,124,35,0,50,130,346,499,592,530
177,0,0,185,28,7,0,0,0,30,85,178,349,457,38146,305,0,199,155,80,126,32,0,47,119,342,502,594,530
182,0,0,180,26,9,0,0,0,28,81,170,343,439,40146,301,0,194,155,79,124,32,0,48,128,338,497,594,535
181,0,0,185,31,11,0,0,0,31,67,160,329,416,42146,312,0,194,153,78,120,31,0,52,130,357,507,625,539
180,0,0,181,28,8,0,0,0,34,64,150,298,386,44146,321,0,190,161,79,122,31,0,60,128,386,531,672,583
165,0,0,183,31,17,0,0,0,27,48,139,264,336,46146,335,0,193,167,83,127,28,0,58,137,403,559,729,636
151,0,0,168,31,20,0,0,0,35,31,119,185,272,48147,336,0,186,166,79,130,38,0,63,138,418,584,766,669
158,0,2,157,38,25,0,0,0,47,9,87,110,183,50147,346,0,190,173,85,133,38,0,64,154,441,619,814,690
186,0,34,158,55,46,0,0,0,41,0,38,3,48,52146,360,0,192,179,91,145,46,0,84,164,473,656,884,735
219,0,47,161,59,56,0,0,0,22,0,0,0,0,54146,368,0,197,181,100,151,64,0,93,177,484,696,916,766
262,0,36,184,47,43,0,0,0,0,0,0,0,0,56146,369,0,206,177,98,162,82,0,105,208,495,716,899,770
283,0,0,174,0,16,0,0,0,0,0,0,0,0,58146,384,0,223,186,112,180,98,0,114,233,484,731,870,736
250,0,0,129,0,24,0,0,0,0,0,0,0,0,60146,404,0,240,191,129,199,110,0,133,257,481,735,825,674
109,0,0,46,0,0,0,0,0,0,0,0,0,0,62147,422,0,253,208,143,211,116,0,144,268,480,732,789,643
0,0,0,0,0,0,0,0,0,0,0,0,0,0,64147,453,0,257,218,153,216,120,0,162,278,478,718,734,605
0,0,0,0,0,0,0,0,0,0,0,0,0,0,66146,470,0,261,225,160,226,122,0,164,278,472,694,676,574
0,0,0,0,0,0,0,0,0,0,0,0,0,0,68146,476,0,258,228,157,228,132,0,165,281,441,660,610,528
0,0,0,0,0,0,0,0,0,0,0,0,0,0,70146,486,0,262,232,167,225,129,0,162,277,411,633,538,451
0,0,0,0,0,0,0,0,0,0,0,0,0,0,72146,487,0,260,232,162,224,128,0,157,273,391,588,476,420
30,0,0,0,0,0,0,0,0,0,0,0,0,0,74146,507,0,254,240,169,228,129,0,157,280,384,573,458,393
67,0,0,0,0,0,0,0,0,0,0,0,0,0,76147,550,0,261,256,181,225,132,0,160,276,380,525,394,352
76,0,0,0,0,0,0,0,0,0,0,0,0,0,78146,615,0,273,281,199,245,140,0,166,286,336,447,298,271
79,0,0,0,0,0,0,0,0,0,0,0,0,0,80146,670,0,285,312,228,259,152,0,173,274,286,377,204,186
85,0,0,0,0,0,0,0,0,0,0,0,0,0,82146,713,0,316,343,251,282,162,0,157,261,223,319,130,124
98,0,0,0,0,0,0,0,0,0,0,0,0,0,84146,772,34,320,385,287,287,155,0,150,251,168,246,60,43
105,0,0,0,0,0,0,0,0,0,0,0,0,0,86146,843,75,334,428,322,315,155,0,122,231,87,147,0,0
127,0,0,0,0,0,0,0,0,0,0,0,0,0,88146,894,118,335,474,349,328,161,0,69,183,0,0,0,0
151,0,0,0,0,0,0,0,0,0,0,0,0,0,90147,961,172,342,509,376,331,148,0,2,105,0,0,0,0
155,0,0,0,0,0,0,0,0,0,0,0,0,0,92146,1014,208,344,551,364,315,135,0,0,5,0,0,0,0
153,0,0,0,0,0,0,0,0,0,0,0,0,0,94146,1082,235,333,588,342,274,96,0,0,0,0,0,0,0
170,0,0,0,0,0,0,0,0,0,0,0,0,0,96146,1125,252,323,620,301,224,41,0,0,0,0,0,0,0
170,0,0,0,0,0,0,0,0,0,0,0,0,0,98146,1164,266,313,640,264,168,0,0,0,0,0,0,0,0
152,0,0,0,0,0,0,0,0,0,0,0,0,0,100146,1197,269,310,652,235,108,0,0,0,0,0,0,0,0
88,0,0,0,0,0,0,0,0,0,0,0,0,0,102146,1212,254,309,653,196,55,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,305,452,104146,1236,223,286,622,160,9,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,3,63,249,693,810,106146,1255,156,245,559,97,0,0,0,0,0,0,0,0,0
0,0,0,0,0,39,11,0,6,67,175,341,721,752,108146,1177,24,209,418,52,0,0,0,0,0,0,0,0,0
0,0,0,0,63,94,13,0,53,116,273,441,804,804,110146,815,0,198,303,0,0,0,0,0,0,0,0,0,0
112,0,0,156,76,116,25,0,100,164,367,499,823,820,112146,479,0,194,211,0,0,0,0,0,0,0,0,0,0
230,0,36,248,116,146,46,44,125,185,384,494,748,730,114146,318,0,144,134,0,0,0,0,0,0,0,0,0,0
309,0,98,319,169,173,54,85,139,190,375,465,625,612,116146,315,0,145,113,0,0,0,0,0,0,0,0,0,0
359,0,143,357,204,204,77,108,138,196,329,420,461,491,118146,323,0,139,100,0,0,0,0,0,0,0,0,0,0
403,0,185,382,238,238,96,112,135,196,287,349,308,353,120146,312,0,137,96,0,0,0,0,0,0,0,0,0,0
438,0,234,407,273,267,112,104,134,195,206,282,161,220,122146,308,0,130,84,0,0,0,0,0,0,0,0,0,0
467,0,282,429,295,302,138,84,124,181,94,172,25,74,124146,306,0,123,71,0,0,0,0,0,0,0,0,0,0
511,0,311,456,331,325,151,50,83,155,0,37,0,0,126146,305,0,120,62,0,0,0,0,0,0,0,0,0,0
550,0,328,462,338,335,156,16,33,118,0,0,0,0,128146,312,0,114,58,0,0,0,0,0,0,0,0,0,0
584,0,339,488,363,370,170,0,0,73,0,0,0,0,130147,325,0,117,54,0,0,0,0,0,0,0,0,0,0
