Sen1_L,Sen2_L,Sen3_L,Sen4_L,Sen5_L,Sen6_L,Sen7_L,Sen8_L,Sen9_L,Sen10_L,Sen11_L,Sen12_L,Sen13_L,Sen14_L,CLK,Sen1_R,Sen2_R,Sen3_R,Sen4_R,Sen5_R,Sen6_R,Sen7_R,Sen8_R,Sen9_R,Sen10_R,Sen11_R,Sen12_R,Sen13_R,Sen14_R
66,0,147,136,44,115,60,0,25,108,253,313,477,377,2145,204,0,304,116,32,72,24,0,0,52,137,380,297,512
62,0,135,128,38,109,58,0,27,110,251,304,463,376,4145,204,0,299,118,29,67,19,0,0,47,134,370,296,507
58,0,138,135,45,109,56,0,25,103,245,302,475,383,6145,211,0,290,118,29,63,16,0,0,41,135,355,293,501
57,0,132,135,41,111,53,0,25,102,251,300,486,384,8145,211,0,287,120,30,62,13,0,0,36,137,351,290,509
58,0,129,136,41,105,49,0,19,97,254,304,487,392,10145,208,0,283,125,30,60,14,0,0,39,131,344,290,507
58,0,125,140,38,103,46,0,22,100,260,294,487,392,12145,208,0,283,129,32,63,19,0,0,33,135,351,296,517
58,0,120,140,41,102,48,0,24,101,257,296,477,392,14145,210,0,278,124,27,65,16,0,0,39,146,359,300,518
58,0,118,142,44,100,44,0,27,95,260,290,486,390,16145,205,0,279,129,31,67,22,0,0,42,141,360,302,523
56,0,124,143,46,106,45,0,24,98,257,291,481,388,18145,204,0,278,127,31,69,24,0,0,46,146,364,305,521
63,0,132,150,56,107,41,0,25,99,259,290,458,361,20145,211,0,290,128,36,77,24,0,0,65,153,375,302,501
66,0,136,151,53,110,41,0,33,103,250,274,424,336,22145,209,0,307,136,44,87,35,0,0,67,151,377,287,487
77,0,153,158,58,110,38,0,31,107,255,273,439,335,24145,211,0,323,131,44,98,41,0,1,80,156,379,280,466
83,0,156,164,58,114,39,0,34,103,263,282,448,345,26145,220,0,339,133,47,107,47,0,9,94,160,389,270,457
84,0,157,169,62,113,38,0,36,105,259,281,439,342,28145,232,0,362,137,61,118,53,0,12,103,168,395,265,443
85,0,157,167,63,109,36,0,39,111,259,270,415,319,30145,245,0,386,146,67,130,59,0,23,116,166,381,247,406
98,0,174,173,67,116,35,0,36,103,256,269,400,300,32145,276,0,406,157,73,136,60,0,31,124,167,356,193,341
109,0,191,180,69,119,39,0,47,109,250,263,396,281,34145,306,0,421,176,89,151,68,0,42,129,167,337,171,306
123,0,197,190,77,122,39,0,45,111,258,263,384,278,36145,335,2,427,188,98,168,78,0,53,143,172,346,162,290
132,0,209,192,78,122,39,0,51,118,264,267,384,269,38145,358,20,442,194,109,179,80,0,54,147,175,336,149,265
131,0,223,192,76,118,37,0,55,121,256,256,355,251,40145,374,37,440,196,112,178,84,0,63,150,172,324,124,239
130,0,230,194,80,127,46,0,54,117,238,242,319,236,42145,384,47,446,208,120,192,95,0,67,149,160,316,109,220
138,0,240,192,80,121,37,0,50,115,234,228,315,218,44145,408,65,454,220,130,192,91,0,70,157,160,314,103,199
153,0,247,200,87,120,33,0,50,113,229,221,310,215,46145,420,69,450,235,138,203,91,0,75,168,172,318,103,204
162,0,251,206,86,120,32,0,50,111,216,219,297,211,48145,434,73,449,243,145,206,93,0,81,165,183,324,109,210
164,0,255,208,85,120,30,0,41,105,209,206,282,193,50145,439,77,443,240,144,196,88,0,87,167,184,313,106,205
173,0,256,202,80,106,19,0,39,100,199,194,265,178,52145,442,78,443,248,145,194,89,0,87,164,177,307,103,194
169,0,260,204,79,112,24,0,37,90,192,196,276,193,54145,445,68,449,252,153,201,88,0,85,161,189,344,122,223
162,0,257,204,77,103,16,0,32,93,203,207,305,216,56145,437,62,450,244,145,198,87,0,89,170,229,383,163,296
153,0,245,195,67,91,14,0,30,87,205,197,312,227,58145,421,38,439,236,133,193,94,0,91,172,247,429,232,382
141,0,235,182,58,84,7,0,21,82,201,197,324,225,60145,409,16,433,229,126,185,86,0,83,170,272,467,286,445
116,0,220,187,55,84,3,0,7,63,189,190,325,237,62145,397,0,420,220,111,179,83,0,86,163,296,507,362,538
100,0,206,179,50,72,0,0,1,62,170,170,318,232,64145,383,0,415,217,110,170,82,0,89,159,318,548,429,614
79,0,192,169,42,69,0,0,0,44,145,151,299,211,66145,368,0,410,206,100,162,84,0,90,181,335,583,471,672
59,0,167,156,36,49,0,0,0,43,129,136,258,183,68145,356,0,410,203,103,168,85,0,84,173,329,617,512,698
44,0,149,151,29,42,0,0,0,36,97,110,231,152,70145,334,0,405,192,91,162,87,0,85,174,339,634,538,740
36,0,130,155,24,42,0,0,0,21,65,80,176,119,72145,323,0,398,181,86,160,83,0,84,183,345,653,563,767
44,0,116,160,28,38,0,0,0,9,33,46,122,72,74145,308,0,401,186,100,166,90,0,97,190,348,673,577,792
46,0,111,157,21,41,0,0,0,0,2,11,85,33,76145,304,0,406,194,103,170,84,0,93,194,361,698,587,802
54,0,118,163,21,35,0,0,0,0,0,0,34,0,78145,296,0,397,211,112,162,76,0,100,185,370,688,591,827
62,0,123,172,26,34,0,0,0,0,0,0,0,0,80145,303,0,375,232,117,150,55,0,94,173,374,689,612,843
75,0,129,170,16,34,0,0,0,0,0,0,0,0,82145,315,0,345,243,117,136,30,0,87,159,388,685,635,854
79,0,139,171,16,35,0,0,0,0,0,0,0,0,84145,312,0,315,254,115,126,16,0,85,138,384,670,651,859
73,0,163,181,24,40,0,0,0,0,0,0,0,0,86145,307,0,286,260,116,118,14,0,73,126,368,674,654,864
77,0,187,168,15,35,0,0,0,0,0,0,0,0,88145,301,0,267,255,114,114,7,0,68,133,368,665,659,873
79,0,195,161,3,26,0,0,0,0,0,0,0,0,90145,295,0,252,257,114,120,18,0,68,133,376,665,653,884
92,0,170,133,0,19,0,0,0,0,0,0,0,0,92144,300,0,248,262,116,128,21,0,80,145,379,658,640,855
57,0,116,87,0,19,0,0,0,0,0,0,0,0,94145,314,0,259,270,133,141,32,0,94,160,387,652,596,821
9,0,46,34,0,0,0,0,0,0,0,0,0,0,96145,318,0,299,276,153,167,55,0,108,189,379,643,548,757
0,0,0,0,0,0,0,0,0,0,0,0,0,0,98145,325,0,353,283,174,195,76,0,128,212,376,619,449,657
0,0,0,0,0,0,0,0,0,0,0,0,0,0,100145,330,28,409,281,196,230,111,0,157,257,347,557,332,498
0,0,0,0,0,0,0,0,0,0,0,0,0,0,102145,358,100,456,278,217,263,137,0,179,285,297,478,213,337
0,0,0,0,0,0,0,0,0,0,0,0,0,0,104145,372,150,492,278,233,301,173,0,184,303,213,396,103,205
0,0,0,0,0,0,0,0,0,0,0,0,0,0,106145,391,196,516,273,245,334,210,0,185,328,133,326,19,95
0,0,0,0,0,0,0,0,0,0,0,0,0,0,108145,408,232,532,265,253,360,243,0,170,346,28,214,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,110145,431,257,545,271,266,384,276,0,135,332,0,68,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,112145,461,270,544,271,276,405,293,0,87,297,0,0,0,0
33,0,0,0,0,0,0,0,0,0,0,0,0,0,114145,495,276,544,283,286,417,297,0,29,230,0,0,0,0
51,0,0,0,0,0,0,0,0,0,0,0,0,0,116145,536,287,530,292,287,418,299,0,0,132,0,0,0,0
70,0,0,0,0,0,0,0,0,0,0,0,0,0,118144,572,296,514,315,287,415,284,0,0,60,0,0,0,0
85,0,0,0,0,0,0,0,0,0,0,0,0,0,120145,612,315,506,339,290,410,262,0,0,7,0,0,0,0
107,0,1,0,0,0,0,0,0,0,0,0,0,0,122145,654,331,496,376,302,401,231,0,0,0,0,0,0,0
112,0,0,0,0,0,0,0,0,0,0,0,0,0,124145,701,353,483,408,300,380,185,0,0,0,0,0,0,0
119,0,3,0,0,0,0,0,0,0,0,0,0,0,126145,750,365,468,453,307,359,148,0,0,0,0,0,0,0
122,0,0,0,0,0,0,0,0,0,0,0,0,0,128145,797,378,450,495,310,332,112,0,0,0,0,0,0,0
129,0,0,0,0,0,0,0,0,0,0,0,0,0,130145,856,385,442,547,311,295,62,0,0,0,0,0,0,0
131,0,3,0,0,0,0,0,0,0,0,0,0,0,132145,912,397,429,594,296,237,10,0,0,0,0,0,0,0
110,0,0,0,0,0,0,0,0,0,0,0,0,0,134145,964,391,407,649,264,155,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0,0,0,0,0,136145,1006,353,401,667,215,89,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,33,293,511,138145,1018,281,390,671,161,36,0,0,0,0,0,0,0,0
0,0,0,0,0,0,44,0,0,44,112,346,608,786,140145,1029,181,372,597,102,2,0,0,0,0,0,0,0,0
0,0,0,0,0,127,73,0,0,83,221,375,651,697,142145,960,25,339,464,55,0,0,0,0,0,0,0,0,0
0,0,0,0,24,130,49,0,54,116,312,441,741,723,144145,656,0,345,335,9,0,0,0,0,0,0,0,0,0
0,0,0,61,58,122,33,0,84,132,386,497,835,822,146144,454,0,293,212,0,0,0,0,0,0,0,0,0,0
0,0,3,131,58,124,36,0,80,147,403,520,862,855,148145,374,0,236,135,0,0,0,0,0,0,0,0,0,0
0,0,2,155,60,120,46,0,89,165,394,533,818,844,150145,374,0,228,109,0,0,0,0,0,0,0,0,0,0
0,0,2,175,68,133,62,0,85,164,369,522,754,797,152145,370,0,211,102,0,0,0,0,0,0,0,0,0,0
0,0,4,197,76,141,73,0,84,161,344,497,689,737,154145,371,0,197,92,0,0,0,0,0,0,0,0,0,0
0,0,5,218,85,139,71,0,91,164,342,488,655,705,156145,384,0,193,78,0,0,0,0,0,0,0,0,0,0
0,0,22,240,96,145,81,0,103,160,353,486,655,678,158145,390,0,194,76,0,0,0,0,0,0,0,0,0,0
10,0,51,265,118,160,93,0,120,181,347,467,590,619,160145,396,0,180,68,0,0,0,0,0,0,0,0,0,0
39,0,102,302,144,190,114,1,139,192,342,426,500,506,162145,406,0,177,57,0,0,0,0,0,0,0,0,0,0
170,0,187,340,189,226,133,22,153,206,322,384,380,384,164145,412,0,172,49,0,0,0,0,0,0,0,0,0,0
291,0,287,381,237,263,149,33,166,210,280,322,262,229,166145,418,0,164,44,0,0,0,0,0,0,0,0,0,0
387,0,357,402,282,309,177,24,170,218,185,229,102,69,168145,432,0,164,35,0,0,0,0,0,0,0,0,0,0
475,68,388,431,333,368,209,0,163,205,3,45,0,0,170145,440,0,160,27,0,0,0,0,0,0,0,0,0,0
570,142,368,467,375,416,223,0,98,139,0,0,0,0,172145,434,0,155,24,0,0,0,0,0,0,0,0,0,0
667,200,353,518,413,434,204,0,0,46,0,0,0,0,174145,437,0,151,14,0,0,0,0,0,0,0,0,0,0
740,249,356,571,439,428,159,0,0,0,0,0,0,0,176145,429,0,146,6,0,0,0,0,0,0,0,0,0,0
780,270,364,638,454,409,103,0,0,0,0,0,0,0,178145,423,0,148,6,0,0,0,0,0,0,0,0,0,0
802,264,375,687,445,357,43,0,0,0,0,0,0,0,180145,420,0,146,1,0,0,0,0,0,0,0,0,0,0
804,218,379,733,407,274,0,0,0,0,0,0,0,0,182145,406,0,140,0,0,0,0,0,0,0,0,0,0,177
812,133,381,713,350,194,0,0,0,0,0,0,0,0,184145,376,0,145,0,0,0,0,0,0,0,0,94,570,998
818,0,364,537,194,68,0,0,0,0,0,0,0,0,186145,335,0,143,0,0,0,0,0,0,0,107,353,597,937
608,0,380,319,18,0,0,0,0,0,0,0,0,0,188145,330,0,135,0,0,72,79,0,0,58,277,604,678,943
411,0,356,203,0,0,0,0,0,0,0,0,0,0,190145,307,0,225,0,0,179,95,0,76,131,450,715,826,1008
141,0,248,136,0,0,0,0,0,0,0,0,0,0,192145,299,0,321,55,41,153,63,0,98,150,515,740,914,1003
0,0,114,77,0,0,0,0,0,0,0,0,0,0,194145,293,0,374,99,64,160,61,0,94,152,532,726,922,966
0,0,103,58,0,0,0,0,0,0,0,0,0,0,196145,295,0,399,129,65,165,71,0,105,168,514,704,857,907
0,0,97,43,0,0,0,0,0,0,0,0,0,0,198145,311,0,420,149,70,172,80,0,107,184,484,677,761,804
0,0,91,31,0,0,0,0,0,0,0,0,0,0,200145,334,5,439,175,78,192,96,0,103,185,453,636,661,693
0,0,80,24,0,0,0,0,0,0,0,0,0,0,202145,380,15,446,198,96,196,92,0,113,191,428,570,574,583
0,0,78,19,0,0,0,0,0,0,0,0,0,0,204145,420,18,442,226,117,200,91,0,118,183,398,513,487,482
0,0,69,7,0,0,0,0,0,0,0,0,0,0,206145,457,27,443,256,144,211,95,0,121,188,365,464,400,381
0,0,58,0,0,0,0,0,0,0,0,0,0,0,208145,488,57,446,278,168,224,103,0,126,183,316,386,263,243
12,0,64,0,0,0,0,0,0,0,0,0,0,0,210145,532,82,462,300,204,255,122,0,126,195,242,314,139,118
55,0,67,0,0,0,0,0,0,0,0,0,0,0,212145,570,129,459,319,230,280,143,0,139,199,141,210,8,9
103,0,70,0,0,0,0,0,0,0,0,0,0,0,214145,613,172,468,343,267,315,162,0,124,188,3,58,0,0
135,0,62,0,0,0,0,0,0,0,0,0,0,0,216145,657,215,464,366,296,357,196,0,98,166,0,0,0,0
173,0,59,0,0,0,0,0,0,0,0,0,0,0,218145,713,265,463,376,314,390,220,0,26,107,0,0,0,0
228,0,56,0,0,0,0,0,0,0,0,0,0,0,220145,760,328,452,380,318,414,228,0,0,38,0,0,0,0
263,0,53,0,0,0,0,0,0,0,0,0,0,0,222145,796,374,451,379,309,445,233,0,0,0,0,0,0,0
275,0,49,0,0,0,0,0,0,0,0,0,0,0,224145,831,409,459,395,300,449,211,0,0,0,0,0,0,0
258,0,45,0,0,0,0,0,0,0,0,0,0,0,226145,868,424,462,415,300,416,159,0,0,0,0,0,0,0
198,0,35,0,0,0,0,0,0,0,0,0,0,0,228145,913,413,454,439,300,348,85,0,0,0,0,0,0,0
70,0,21,0,0,0,0,0,0,0,0,0,646,1034,230145,931,346,435,472,274,250,17,0,0,0,0,0,0,0
13,0,10,0,0,0,37,0,0,0,156,345,938,1067,232145,945,200,376,453,177,94,0,0,0,0,0,0,0,0
0,0,0,0,0,189,133,0,94,209,353,555,852,891,234145,769,0,344,351,63,0,0,0,0,0,0,0,0,0
0,0,22,0,82,235,183,0,169,287,430,617,796,794,236145,493,0,322,239,0,0,0,0,0,0,0,0,0,0
38,0,143,53,97,235,190,0,195,329,476,649,805,762,238145,328,0,259,138,0,0,0,0,0,0,0,0,0,0
105,11,241,142,103,254,211,0,219,367,466,625,705,654,240145,293,0,239,91,0,0,0,0,0,0,0,0,0,0
169,34,344,168,119,278,245,0,242,384,427,563,534,494,242145,288,0,220,82,0,0,0,0,0,0,0,0,0,0
225,41,410,194,144,304,268,0,242,404,360,506,389,337,244145,284,0,208,80,0,0,0,0,0,0,0,0,0,0
273,88,451,194,164,324,293,0,240,408,285,410,229,176,246145,290,0,199,69,0,0,0,0,0,0,0,0,0,0
303,120,479,204,182,349,312,0,228,399,194,315,105,52,248145,289,0,189,64,0,0,0,0,0,0,0,0,0,0
326,135,492,206,196,372,331,0,211,395,102,225,5,0,250145,291,0,186,63,0,0,0,0,0,0,0,0,0,0
356,151,493,207,201,393,351,0,204,375,13,114,0,0,252145,302,0,184,54,0,0,0,0,0,0,0,0,0,0
408,182,490,214,213,402,360,0,181,335,0,6,0,0,254144,305,0,175,45,0,0,0,0,0,0,0,0,0,0
439,211,495,222,234,430,357,0,129,276,0,0,0,0,256145,318,0,172,43,0,0,0,0,0,0,0,0,0,0
462,230,490,229,252,452,364,0,77,206,0,0,0,0,258145,328,0,167,40,0,0,0,0,0,0,0,0,0,0
502,264,483,228,262,474,358,0,9,122,0,0,0,0,260145,345,0,156,28,0,0,0,0,0,0,0,0,0,0
528,293,486,229,272,496,359,0,0,50,0,0,0,0,262145,354,0,159,20,0,0,0,0,0,0,0,0,0,0
564,322,492,248,290,525,339,0,0,0,0,0,0,0,264145,351,0,153,18,0,0,0,0,0,0,0,0,0,0
607,353,474,284,317,541,299,0,0,0,0,0,0,0,266145,361,0,151,10,0,0,0,0,0,0,0,0,0,0
649,380,467,321,349,546,241,0,0,0,0,0,0,0,268144,354,0,146,6,0,0,0,0,0,0,0,0,0,0
681,361,459,366,386,546,183,0,0,0,0,0,0,0,270145,347,0,142,0,0,0,0,0,0,0,0,0,0,0
692,320,451,371,383,506,128,0,0,0,0,0,0,0,272145,324,0,139,3,0,0,0,0,0,0,0,0,0,0
692,219,442,323,359,463,94,0,0,0,0,0,0,0,274145,293,0,137,0,0,0,0,0,0,0,0,7,623,1216
736,88,402,249,189,214,24,0,0,0,0,0,0,0,276145,266,0,141,0,0,0,24,0,0,0,219,505,882,1179
506,0,445,225,3,10,4,0,0,0,0,0,0,0,278145,267,0,207,0,0,175,153,0,86,183,428,668,901,964
329,0,403,175,0,0,0,0,0,0,0,0,0,0,280145,280,0,310,61,54,202,118,0,149,197,530,662,948,848
206,0,290,126,0,0,0,0,0,0,0,0,0,0,282145,305,58,380,155,85,192,91,0,162,189,577,676,985,831
109,0,251,92,0,0,0,0,0,0,0,0,0,0,284145,339,60,416,211,118,204,98,0,181,221,567,681,913,742
97,0,227,64,0,0,0,0,0,0,0,0,0,0,286145,378,89,449,235,147,235,129,0,204,249,517,633,717,580
87,0,211,57,0,0,0,0,0,0,0,0,0,0,288145,387,107,484,246,170,273,168,0,220,277,434,576,511,439
87,0,196,33,0,0,0,0,0,0,0,0,0,0,290145,380,132,511,242,179,290,190,0,222,316,363,499,330,300
80,0,181,27,0,0,0,0,0,0,0,0,0,0,292145,388,149,523,250,192,303,198,0,208,299,279,392,181,168
80,0,177,27,0,0,0,0,0,0,0,0,0,0,294145,412,166,515,260,203,305,192,0,192,276,201,296,75,57
77,0,165,15,0,0,0,0,0,0,0,0,0,0,296145,429,168,515,264,206,312,198,0,183,243,111,192,0,0
77,0,158,16,0,0,0,0,0,0,0,0,0,0,298145,448,173,519,259,206,328,208,0,145,215,0,67,0,0
109,0,153,10,0,0,0,0,0,0,0,0,0,0,300145,479,186,512,264,209,343,221,0,114,199,0,0,0,0
133,0,137,4,0,0,0,0,0,0,0,0,0,0,302145,526,208,511,270,230,361,230,0,84,160,0,0,0,0
155,0,135,3,0,0,0,0,0,0,0,0,0,0,304145,564,229,486,287,245,392,246,0,63,116,0,0,0,0
163,0,125,0,0,0,0,0,0,0,0,0,0,0,306145,628,263,471,292,255,406,255,0,46,89,0,0,0,0
181,0,120,0,0,0,0,0,0,0,0,0,0,0,308144,673,296,460,305,278,439,267,0,30,50,0,0,0,0
198,0,112,0,0,0,0,0,0,0,0,0,0,0,310145,730,345,447,320,291,460,272,0,0,13,0,0,0,0
220,0,109,0,0,0,0,0,0,0,0,0,0,0,312145,772,389,430,339,307,492,278,0,0,0,0,0,0,0
233,0,109,0,0,0,0,0,0,0,0,0,0,0,314145,815,425,430,356,315,499,256,0,0,0,0,0,0,0
232,0,101,0,0,0,0,0,0,0,0,0,0,0,316145,864,450,422,379,318,474,202,0,0,0,0,0,0,0
