Sen1_L,Sen2_L,Sen3_L,Sen4_L,Sen5_L,Sen6_L,Sen7_L,Sen8_L,Sen9_L,Sen10_L,Sen11_L,Sen12_L,Sen13_L,Sen14_L,CLK,Sen1_R,Sen2_R,Sen3_R,Sen4_R,Sen5_R,Sen6_R,Sen7_R,Sen8_R,Sen9_R,Sen10_R,Sen11_R,Sen12_R,Sen13_R,Sen14_R
253,0,167,235,143,194,98,9,62,172,49,285,200,450,2145,476,0,381,190,84,144,60,0,56,94,183,246,199,149
257,0,164,235,147,195,94,8,56,163,49,283,205,446,4145,467,0,379,186,81,141,55,0,55,87,186,249,238,175
253,0,151,232,141,185,87,5,55,162,49,266,194,428,6145,464,0,377,181,72,134,46,0,49,85,208,264,276,204
251,0,138,236,142,178,83,3,51,157,34,239,174,395,8145,448,0,361,177,63,124,43,0,49,79,221,274,325,237
260,0,139,244,147,181,73,2,46,145,31,234,169,371,10145,444,0,353,174,59,122,40,0,47,78,230,305,366,275
273,0,134,253,151,183,73,2,47,143,29,217,146,346,12145,457,0,350,179,63,130,42,0,53,78,253,318,424,316
292,0,137,253,149,181,72,1,49,145,20,183,112,279,14145,484,0,353,190,65,127,36,0,63,80,275,335,456,322
299,0,140,262,158,181,68,0,41,133,2,158,86,226,16145,499,0,353,191,72,129,36,0,68,92,284,331,450,322
301,0,134,259,155,172,56,0,41,126,0,135,57,200,18145,507,0,349,196,76,137,42,0,74,94,290,327,456,325
312,0,125,263,151,170,54,0,46,122,0,133,67,210,20145,528,0,355,207,82,147,47,0,80,100,296,335,456,305
330,0,126,280,161,175,49,0,36,116,0,133,74,199,22145,535,0,353,223,96,153,52,0,90,112,300,339,446,284
357,0,124,284,164,166,38,0,31,111,0,116,53,174,24145,554,0,351,226,107,164,58,0,98,115,311,342,435,264
363,0,124,285,163,163,35,0,29,106,0,101,41,145,26145,580,0,346,229,110,164,59,0,105,127,318,329,415,243
376,0,126,288,162,166,32,0,24,103,0,97,36,148,28145,606,0,350,244,121,170,56,0,104,133,309,322,382,204
397,0,133,299,165,164,24,0,24,96,0,86,38,128,30145,625,0,353,257,134,182,63,0,111,141,293,305,357,172
414,0,125,310,167,157,22,0,30,100,0,85,45,135,32145,640,10,346,258,133,183,68,0,118,140,290,293,332,156
424,0,129,317,165,160,19,0,30,93,5,100,62,159,34145,644,13,348,264,139,192,72,0,121,146,288,293,303,128
429,0,129,318,170,158,21,0,36,98,8,105,61,164,36145,633,18,354,269,144,197,75,0,121,149,264,270,271,105
419,0,133,316,169,164,25,0,34,93,6,101,60,168,38145,647,23,355,272,151,206,79,0,121,149,259,253,236,80
431,0,139,315,172,160,19,0,33,96,7,106,53,159,40145,658,32,351,278,153,208,83,0,132,151,245,250,223,71
448,0,145,322,181,166,24,0,36,97,5,97,41,130,42145,669,41,363,283,172,215,79,0,127,155,254,257,228,67
457,0,154,331,185,178,25,5,33,96,5,104,44,133,44145,667,42,361,293,174,217,81,0,139,150,274,281,267,97
458,0,158,333,189,182,36,7,36,103,10,109,46,149,46145,667,45,360,290,174,219,84,0,145,166,302,311,311,120
462,0,160,322,185,181,36,6,39,109,17,106,41,138,48145,633,41,368,287,177,226,93,0,151,167,306,337,341,144
447,0,157,320,181,180,38,7,38,104,6,96,38,136,50145,619,39,370,274,174,229,95,0,155,179,319,358,358,164
433,0,153,312,174,172,31,3,31,100,0,94,41,143,52145,587,30,373,262,169,241,111,0,167,197,336,396,392,203
410,0,144,304,168,157,24,0,24,87,0,89,49,153,54145,567,22,385,248,164,243,122,0,176,220,348,429,425,243
377,0,131,281,149,145,20,0,12,89,0,75,50,157,56145,536,19,395,238,163,253,135,0,184,228,353,456,459,280
348,0,120,273,143,143,24,0,6,80,0,64,27,137,58145,513,12,409,235,164,262,145,0,183,245,359,497,487,309
339,0,118,264,141,147,33,0,2,80,0,27,0,79,60145,494,12,419,216,160,273,166,0,202,264,368,521,486,328
359,0,128,271,147,155,47,0,0,72,0,0,0,4,62145,471,15,424,205,155,288,178,0,208,297,358,533,470,326
374,0,152,288,145,160,55,0,0,50,0,0,0,0,64145,456,15,437,192,154,298,200,0,220,321,352,550,439,325
404,0,188,288,147,166,60,0,0,35,0,0,0,0,66145,450,29,445,187,161,315,218,0,228,351,350,549,395,299
434,0,220,300,147,153,41,0,0,0,0,0,0,0,68145,448,37,467,195,173,330,235,0,233,368,325,545,366,272
461,0,238,315,141,133,14,0,0,0,0,0,0,0,70145,442,40,473,185,170,339,254,0,238,387,312,537,329,264
520,0,260,348,122,81,0,0,0,0,0,0,0,0,72145,439,48,479,177,166,338,257,0,238,401,315,539,314,247
575,0,267,389,67,0,0,0,0,0,0,0,0,0,74145,438,46,480,186,166,339,259,0,234,384,315,539,325,271
596,0,253,407,0,0,0,0,0,0,0,0,0,0,76145,450,41,460,189,162,325,249,0,235,360,341,550,380,302
573,0,243,327,0,0,0,0,0,0,0,0,0,0,78145,472,27,439,208,164,310,223,0,218,319,360,557,440,342
359,0,197,211,0,0,0,0,0,0,0,0,0,0,80145,509,21,417,228,173,284,184,0,213,274,372,541,478,357
204,0,109,95,0,0,0,0,0,0,0,0,0,0,82145,542,12,398,251,182,273,162,0,192,247,363,509,473,342
72,0,5,5,0,0,0,0,0,0,0,0,0,0,84145,549,9,384,269,188,259,139,0,181,233,352,468,447,325
39,0,0,0,0,0,0,0,0,0,0,0,0,0,86145,558,3,372,284,194,251,126,0,172,215,340,430,416,313
24,0,0,0,0,0,0,0,0,0,0,0,0,0,88145,563,0,364,314,203,240,111,0,163,189,327,408,404,291
26,0,0,0,0,0,0,0,0,0,0,0,0,0,90145,596,0,342,351,220,233,96,0,151,168,316,357,377,268
36,0,0,0,0,0,0,0,0,0,0,0,0,0,92145,644,0,328,416,258,228,73,0,126,147,302,299,325,206
81,0,0,0,0,0,0,0,0,0,0,0,0,0,94145,702,6,323,463,287,239,61,0,125,137,241,226,240,120
133,0,0,0,0,0,0,0,0,0,0,0,0,0,96145,744,35,325,514,327,264,71,0,112,126,154,145,101,34
176,0,0,0,0,0,0,0,0,0,0,0,0,0,98145,776,63,330,548,361,286,84,0,93,122,25,22,0,0
201,0,0,0,0,0,0,0,0,0,0,0,0,0,100145,820,110,344,570,391,309,99,0,66,103,0,0,0,0
208,0,0,0,0,0,0,0,0,0,0,0,0,0,102145,828,151,378,575,424,350,129,0,12,72,0,0,0,0
223,0,0,0,0,0,0,0,0,0,0,0,0,0,104145,858,208,389,571,414,366,147,0,0,8,0,0,0,0
248,0,0,0,0,0,0,0,0,0,0,0,0,0,106145,884,246,398,584,411,359,139,0,0,0,0,0,0,0
278,0,0,0,0,0,0,0,0,0,0,0,0,0,108145,936,287,409,620,394,342,107,0,0,0,0,0,0,0
287,0,0,0,0,0,0,0,0,0,0,0,0,0,110145,982,325,406,651,373,314,68,0,0,0,0,0,0,0
281,0,0,0,0,0,0,0,0,0,0,0,0,0,112145,1031,353,398,686,358,275,24,0,0,0,0,0,0,0
261,0,0,0,0,0,0,0,0,0,0,0,0,0,114145,1079,368,402,715,334,220,0,0,0,0,0,0,0,0
216,0,0,0,0,0,0,0,0,0,0,0,0,0,116145,1122,354,388,737,299,157,0,0,0,0,0,0,0,0
137,0,0,0,0,0,0,0,0,0,0,0,0,0,118145,1152,306,379,723,258,98,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,17,120145,1173,235,360,673,204,52,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,154,495,681,122145,1179,139,323,567,135,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,33,0,0,65,118,365,798,864,124145,943,0,320,426,60,0,0,0,0,0,0,0,0,0
0,0,0,0,0,78,69,0,16,112,218,430,901,863,126145,614,0,317,319,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,103,81,0,48,138,271,450,927,868,128145,403,0,249,212,0,0,0,0,0,0,0,0,0,0
0,0,0,25,19,95,96,0,68,176,294,486,921,890,130145,299,0,215,139,0,0,0,0,0,0,0,0,0,0
0,0,0,89,41,103,97,0,68,183,297,488,917,870,132145,287,0,201,114,0,0,0,0,0,0,0,0,0,0
0,0,0,143,60,115,80,0,65,184,302,476,912,857,134145,299,0,190,111,0,0,0,0,0,0,0,0,0,0
0,0,0,186,67,117,71,0,66,169,326,459,919,847,136145,306,0,185,99,0,0,0,0,0,0,0,0,0,0
0,0,0,222,78,118,60,0,71,166,334,459,921,831,138145,315,0,175,91,0,0,0,0,0,0,0,0,0,0
0,0,0,253,90,116,69,0,77,170,330,430,898,800,140145,321,0,165,84,0,0,0,0,0,0,0,0,0,0
0,0,0,281,101,117,65,10,76,155,335,415,870,747,142145,325,0,164,79,0,0,0,0,0,0,0,0,0,0
0,0,0,326,131,129,73,21,77,160,325,393,815,672,144145,328,0,160,68,0,0,0,0,0,0,0,0,0,0
0,0,0,371,167,164,87,52,90,168,323,372,703,554,146145,337,0,152,60,0,0,0,0,0,0,0,0,0,0
20,0,47,416,208,201,108,75,119,177,316,342,573,410,148145,369,0,152,55,0,0,0,0,0,0,0,0,0,0
365,0,191,462,252,248,129,105,128,177,291,309,427,263,150145,390,0,150,54,0,0,0,0,0,0,0,0,0,0
