Sen1_L,Sen2_L,Sen3_L,Sen4_L,Sen5_L,Sen6_L,Sen7_L,Sen8_L,Sen9_L,Sen10_L,Sen11_L,Sen12_L,Sen13_L,Sen14_L,CLK,Sen1_R,Sen2_R,Sen3_R,Sen4_R,Sen5_R,Sen6_R,Sen7_R,Sen8_R,Sen9_R,Sen10_R,Sen11_R,Sen12_R,Sen13_R,Sen14_R
173,0,268,237,110,132,58,0,22,143,128,281,303,411,2139,,,,,,,,,,,,,,
198,0,259,251,111,120,46,0,19,133,124,245,269,362,4138,189.0,0.0,210.0,128.0,39.0,135.0,95.0,0.0,39.0,164.0,179.0,399.0,354.0,495.0
211,0,255,285,116,112,30,0,9,98,100,204,240,323,6138,202.0,0.0,230.0,129.0,42.0,140.0,90.0,0.0,39.0,155.0,197.0,424.0,392.0,521.0
232,0,246,296,111,100,15,0,5,94,107,185,224,309,8139,217.0,0.0,246.0,132.0,39.0,141.0,87.0,0.0,39.0,146.0,219.0,429.0,432.0,537.0
239,0,240,311,114,94,8,0,6,87,102,183,230,319,10139,225.0,0.0,263.0,138.0,42.0,141.0,80.0,0.0,39.0,135.0,231.0,437.0,445.0,553.0
242,0,233,318,116,88,0,0,0,84,105,183,249,329,12139,235.0,0.0,270.0,138.0,37.0,140.0,78.0,0.0,36.0,133.0,245.0,449.0,483.0,563.0
237,0,227,316,119,89,0,0,0,80,101,190,252,325,14139,224.0,0.0,258.0,135.0,32.0,141.0,84.0,0.0,38.0,122.0,254.0,450.0,490.0,594.0
228,0,224,305,111,89,2,0,0,75,104,194,259,348,16139,204.0,0.0,245.0,129.0,29.0,141.0,77.0,0.0,40.0,116.0,258.0,458.0,518.0,619.0
207,0,220,284,106,91,6,0,3,84,113,218,291,397,18138,188.0,0.0,231.0,122.0,19.0,134.0,74.0,0.0,38.0,111.0,259.0,461.0,540.0,622.0
195,0,216,259,103,89,7,0,2,92,124,247,317,423,20138,182.0,0.0,222.0,121.0,21.0,126.0,62.0,0.0,32.0,106.0,266.0,476.0,551.0,633.0
183,0,213,250,91,87,7,0,0,98,122,246,324,438,22139,170.0,0.0,207.0,123.0,21.0,120.0,61.0,0.0,31.0,103.0,268.0,468.0,558.0,636.0
172,0,197,245,91,79,12,0,3,99,125,242,328,446,24139,156.0,0.0,197.0,128.0,22.0,114.0,62.0,0.0,28.0,96.0,260.0,462.0,560.0,642.0
164,0,198,235,89,80,6,0,0,96,121,246,335,446,26139,161.0,0.0,183.0,125.0,18.0,104.0,53.0,0.0,24.0,98.0,261.0,456.0,557.0,628.0
