Sen1_L,Sen2_L,Sen3_L,Sen4_L,Sen5_L,Sen6_L,Sen7_L,Sen8_L,Sen9_L,Sen10_L,Sen11_L,Sen12_L,Sen13_L,Sen14_L,CLK,Sen1_R,Sen2_R,Sen3_R,Sen4_R,Sen5_R,Sen6_R,Sen7_R,Sen8_R,Sen9_R,Sen10_R,Sen11_R,Sen12_R,Sen13_R,Sen14_R
305,0,338,197,98,156,102,0,28,164,185,352,347,455,2145,452.0,0.0,332.0,246.0,108.0,146.0,25.0,0.0,35.0,69.0,235.0,284.0,290.0,281.0
297,0,333,198,96,153,104,0,30,163,185,346,346,464,4144,455.0,0.0,321.0,240.0,102.0,137.0,23.0,0.0,35.0,72.0,248.0,276.0,305.0,299.0
303,0,332,200,96,150,100,0,28,162,183,345,349,459,6144,449.0,0.0,315.0,238.0,96.0,131.0,18.0,0.0,31.0,60.0,254.0,284.0,326.0,322.0
306,0,331,201,94,152,98,0,27,153,185,342,354,458,8144,430.0,0.0,302.0,240.0,93.0,123.0,12.0,0.0,21.0,46.0,252.0,292.0,361.0,353.0
306,0,325,200,91,145,93,0,26,152,189,338,354,461,10144,415.0,0.0,282.0,228.0,74.0,109.0,7.0,0.0,11.0,38.0,258.0,300.0,395.0,391.0
316,0,325,203,93,137,83,0,24,150,192,331,351,453,12144,401.0,0.0,282.0,223.0,74.0,102.0,0.0,0.0,2.0,35.0,266.0,318.0,445.0,429.0
319,0,327,215,96,139,80,0,20,141,183,320,347,439,14144,400.0,0.0,270.0,217.0,65.0,91.0,0.0,0.0,0.0,30.0,267.0,325.0,463.0,466.0
319,0,321,215,91,136,77,0,15,133,185,300,339,429,16144,387.0,0.0,260.0,215.0,65.0,88.0,0.0,0.0,0.0,21.0,269.0,332.0,494.0,478.0
318,0,318,214,85,128,69,0,12,125,186,294,340,429,18144,387.0,0.0,257.0,218.0,65.0,87.0,0.0,0.0,0.0,20.0,276.0,344.0,519.0,490.0
326,0,315,214,88,122,61,0,9,114,183,296,348,429,20144,387.0,0.0,253.0,216.0,60.0,88.0,0.0,0.0,0.0,18.0,274.0,344.0,530.0,505.0
323,0,315,218,86,123,57,0,0,107,181,297,357,434,22144,391.0,0.0,251.0,217.0,61.0,85.0,0.0,0.0,0.0,20.0,271.0,351.0,539.0,531.0
314,0,305,220,81,114,54,0,0,101,180,287,367,450,24144,393.0,0.0,242.0,217.0,57.0,80.0,0.0,0.0,0.0,22.0,285.0,349.0,553.0,539.0
317,0,298,211,74,98,41,0,0,96,180,281,377,444,26144,392.0,0.0,238.0,215.0,57.0,81.0,0.0,0.0,0.0,17.0,281.0,354.0,561.0,549.0
299,0,288,207,67,95,33,0,0,74,170,276,388,461,28144,395.0,0.0,233.0,221.0,58.0,78.0,0.0,0.0,0.0,15.0,282.0,354.0,582.0,547.0
