Sen1_L,Sen2_L,Sen3_L,Sen4_L,Sen5_L,Sen6_L,Sen7_L,Sen8_L,Sen9_L,Sen10_L,Sen11_L,Sen12_L,Sen13_L,Sen14_L,CLK,Sen1_R,Sen2_R,Sen3_R,Sen4_R,Sen5_R,Sen6_R,Sen7_R,Sen8_R,Sen9_R,Sen10_R,Sen11_R,Sen12_R,Sen13_R,Sen14_R
153,0,79,167,59,82,0,0,13,78,208,259,570,463,2144,0,0,127,4,0,101,62,0,5,87,183,433,543,645
157,0,60,174,53,73,0,0,2,60,200,243,579,453,4145,0,0,139,12,0,97,62,0,11,102,209,439,568,658
158,0,40,168,41,49,0,0,0,50,204,229,578,429,6145,0,0,176,24,0,94,52,0,19,96,215,460,593,666
136,0,20,157,31,42,0,0,0,37,197,207,579,424,8145,0,0,220,30,0,92,49,0,27,100,242,470,629,688
120,0,0,146,18,28,0,0,0,32,197,193,574,423,10145,0,0,284,33,6,102,46,0,42,107,274,492,672,707
105,0,0,131,7,15,0,0,0,30,185,189,565,412,12144,0,0,324,39,21,112,44,0,49,118,293,498,684,725
84,0,0,120,0,10,0,0,0,29,180,182,580,419,14144,29,0,357,52,36,122,41,0,49,122,315,508,700,717
55,0,0,105,0,11,0,0,0,18,168,187,578,424,16144,57,0,371,59,39,133,49,0,61,120,327,497,704,718
24,0,0,67,0,10,0,0,0,24,166,183,569,425,18145,84,0,376,55,41,135,49,0,63,124,336,518,720,720
0,0,0,33,0,20,0,0,0,16,148,174,558,435,20145,91,0,376,49,42,138,58,0,65,133,339,522,728,733
0,0,0,5,0,28,0,0,0,8,130,171,562,446,22145,91,0,358,44,36,139,67,0,67,133,332,539,711,745
0,0,0,0,0,24,0,0,0,9,124,166,571,450,24144,94,0,360,40,35,138,67,0,69,132,332,541,708,741
0,0,0,0,0,24,0,0,0,15,121,160,558,451,26144,94,0,364,44,33,143,79,0,68,130,319,539,704,735
0,0,0,0,0,24,0,0,0,13,126,160,535,441,28144,99,0,372,58,35,133,73,0,70,135,322,536,691,726
