Sen1_L,Sen2_L,Sen3_L,Sen4_L,Sen5_L,Sen6_L,Sen7_L,Sen8_L,Sen9_L,Sen10_L,Sen11_L,Sen12_L,Sen13_L,Sen14_L,CLK,Sen1_R,Sen2_R,Sen3_R,Sen4_R,Sen5_R,Sen6_R,Sen7_R,Sen8_R,Sen9_R,Sen10_R,Sen11_R,Sen12_R,Sen13_R,Sen14_R
150,0,0,0,0,0,0,0,0,0,0,0,0,0,2148,0,0,36,100,42,155,111,0,0,360,342,545,819,551
160,0,0,0,0,0,0,0,0,0,0,0,0,0,4149,0,0,93,118,68,174,113,0,110,181,353,545,804,525
162,0,0,0,0,0,0,0,0,0,0,0,0,0,6149,0,0,157,126,84,199,121,0,0,376,371,532,750,485
170,0,0,0,0,0,0,0,0,0,0,0,0,0,8149,0,0,212,155,112,227,130,0,185,241,373,516,675,431
173,0,0,0,0,0,0,0,0,0,0,0,0,0,10149,0,0,251,179,133,256,155,0,0,0,359,492,574,349
168,0,0,0,0,0,0,0,0,0,0,0,0,0,12148,78,0,318,197,177,293,188,0,0,577,329,462,436,240
178,0,0,0,0,0,0,0,0,0,0,0,0,0,14148,288,0,383,223,218,343,228,0,243,346,281,410,288,121
174,0,0,0,0,0,0,0,0,0,0,0,0,0,16149,449,0,410,253,247,388,279,0,282,347,166,310,126,8
168,0,0,0,0,0,0,0,0,0,0,0,0,0,18149,583,0,430,286,290,435,316,0,0,647,0,137,0,0
167,0,0,0,0,0,0,0,0,0,0,0,0,0,20149,694,1,437,311,324,479,350,0,156,328,0,0,0,0
162,0,0,0,0,0,0,0,0,0,0,0,0,0,22149,796,55,429,342,355,512,379,0,0,257,0,0,0,0
139,0,0,0,0,0,0,0,0,0,0,0,0,0,24149,893,124,426,371,381,512,349,0,0,94,0,0,0,0
122,0,0,0,0,0,0,0,0,0,0,0,0,0,26148,975,190,407,419,401,509,305,0,0,0,0,0,0,0
101,0,0,0,0,0,0,0,0,0,0,0,0,0,28148,1046,246,406,470,415,467,222,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0,0,187,370,30149,1088,275,396,516,399,392,129,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,421,634,32149,1122,264,369,549,352,264,27,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,44,525,734,34149,1162,230,318,515,242,111,0,0,0,0,0,0,0,0
0,0,0,0,0,0,8,0,0,0,0,212,546,772,36149,1101,128,258,421,131,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,79,0,0,57,0,338,568,780,38149,864,29,220,322,42,0,0,0,0,0,0,0,0,0
0,0,0,0,0,72,141,0,0,107,50,429,615,809,40148,544,0,225,232,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,139,147,0,0,158,105,513,672,851,42148,337,0,188,133,0,0,0,0,0,0,0,0,0,0
0,0,0,0,62,157,133,0,18,193,147,547,704,866,44149,284,0,164,87,0,0,0,0,0,0,0,0,0,0
0,0,0,0,89,169,143,0,31,223,160,582,701,828,46149,280,0,156,67,0,0,0,0,0,0,0,0,0,0
0,0,0,8,104,181,149,0,44,250,157,573,649,770,48149,276,0,146,52,0,0,0,0,0,0,0,0,0,0
0,0,5,42,116,199,170,0,48,270,143,575,585,693,50149,278,0,141,38,0,0,0,0,0,0,0,0,0,0
0,0,121,58,119,207,188,0,62,314,143,567,501,612,52149,279,0,139,36,0,0,0,0,0,0,0,0,0,0
0,0,251,84,129,234,215,0,72,325,135,543,444,539,54148,281,0,129,26,0,0,0,0,0,0,0,0,0,0
0,0,351,103,143,261,232,0,89,358,142,517,381,466,56148,296,0,128,15,0,0,0,0,0,0,0,0,0,0
0,0,419,110,152,281,260,0,110,379,137,490,315,409,58149,293,0,120,10,0,0,0,0,0,0,0,0,0,0
197,0,469,149,185,315,267,0,131,360,137,454,253,330,60149,298,0,118,5,0,0,0,0,0,0,0,0,0,0
363,0,469,179,204,344,285,0,147,345,118,380,175,228,62149,293,0,115,0,0,0,0,0,0,0,0,0,0,0
479,0,447,213,226,362,286,0,164,317,80,301,95,111,64149,289,10,110,0,0,0,0,0,0,0,0,0,0,0
568,0,438,234,254,391,295,0,155,293,9,201,13,0,66148,299,17,107,0,0,0,0,0,0,0,0,0,0,0
647,0,426,252,281,421,312,0,134,273,0,71,0,0,68148,302,14,104,0,0,0,0,0,0,0,0,0,0,0
745,0,399,295,316,451,323,0,100,221,0,0,0,0,70149,317,10,99,0,0,0,0,0,0,0,0,0,0,0
852,0,368,353,357,470,304,0,26,142,0,0,0,0,72149,320,3,100,0,0,0,0,0,0,0,0,0,0,0
953,0,349,408,398,486,275,0,0,42,0,0,0,0,74149,320,0,90,0,0,0,0,0,0,0,0,0,0,0
1021,6,339,461,428,492,244,0,0,0,0,0,0,0,76149,315,5,89,0,0,0,0,0,0,0,0,0,0,0
1113,40,338,531,468,466,175,0,0,0,0,0,0,0,78149,310,3,85,0,0,0,0,0,0,0,0,0,0,0
1208,73,334,640,505,423,93,0,0,0,0,0,0,0,80148,302,11,84,0,0,0,0,0,0,0,0,0,0,0
1313,103,335,728,498,340,21,0,0,0,0,0,0,0,82148,283,3,80,0,0,0,0,0,0,0,0,0,0,0
1354,91,348,752,456,254,0,0,0,0,0,0,0,0,84148,276,0,82,0,0,0,0,0,0,0,0,0,0,0
1353,57,357,648,346,167,0,0,0,0,0,0,0,0,86149,256,12,73,0,0,0,0,0,0,0,0,0,267,424
1366,0,331,415,198,80,0,0,0,0,0,0,0,0,88149,216,0,73,0,0,0,0,0,0,0,0,0,888,763
1185,0,351,240,72,0,0,0,0,0,0,0,0,0,90149,199,0,74,0,0,0,30,0,0,0,0,0,1082,763
753,0,378,144,0,0,0,0,0,0,0,0,0,0,92149,198,0,69,0,0,0,24,0,0,0,62,103,1144,783
349,0,319,67,0,0,0,0,0,0,0,0,0,0,94148,195,0,75,0,0,10,27,0,0,0,218,312,1219,792
47,0,189,3,0,0,0,0,0,0,0,0,0,0,96148,189,0,77,0,0,44,59,0,10,43,326,429,1257,781
35,0,139,0,0,0,0,0,0,0,0,0,0,0,98149,179,0,70,0,0,118,80,0,54,100,398,464,1248,734
29,0,120,0,0,0,0,0,0,0,0,0,0,0,100149,151,0,37,0,0,155,78,0,67,110,413,471,1225,687
