Sen1_L,Sen2_L,Sen3_L,Sen4_L,Sen5_L,Sen6_L,Sen7_L,Sen8_L,Sen9_L,Sen10_L,Sen11_L,Sen12_L,Sen13_L,Sen14_L,CLK,Sen1_R,Sen2_R,Sen3_R,Sen4_R,Sen5_R,Sen6_R,Sen7_R,Sen8_R,Sen9_R,Sen10_R,Sen11_R,Sen12_R,Sen13_R,Sen14_R
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2141,0,0,219,135,63,151,60,0,99,205,328,651,826,884
0,0,0,0,0,0,0,0,0,0,0,0,0,0,4141,0,0,206,133,58,152,64,0,103,208,313,635,791,871
0,0,0,0,0,0,0,0,0,0,0,0,0,0,6141,0,0,194,139,60,153,58,0,99,203,303,636,770,837
0,0,0,0,0,0,0,0,0,0,0,0,0,0,8140,0,0,182,134,62,160,72,0,103,208,296,596,731,801
0,0,0,0,0,0,0,0,0,0,0,0,0,0,10140,0,0,199,143,67,161,67,0,103,221,300,587,704,766
0,0,0,0,0,0,0,0,0,0,0,0,0,0,12140,0,0,225,152,70,166,80,0,107,236,289,584,682,759
0,0,0,0,0,0,0,0,0,0,0,0,0,0,14140,0,0,238,147,69,167,85,0,119,247,302,589,677,733
0,0,0,0,0,0,0,0,0,0,0,0,0,0,16141,0,0,262,153,77,179,100,0,127,257,309,587,675,712
21,0,0,0,0,0,0,0,0,0,0,0,0,0,18141,0,0,296,167,93,203,118,0,130,256,302,590,670,676
34,0,0,0,0,0,0,0,0,0,0,0,0,0,20141,0,0,349,177,100,218,145,0,141,281,313,563,622,613
43,0,0,0,0,0,0,0,0,0,0,0,0,0,22140,0,0,421,196,125,238,166,0,162,293,318,532,531,530
48,0,0,0,0,0,0,0,0,0,0,0,0,0,24140,138,0,473,216,157,275,192,0,177,311,298,483,451,410
46,0,0,0,0,0,0,0,0,0,0,0,0,0,26140,332,0,497,253,190,303,216,0,198,329,270,417,344,284
32,0,0,0,0,0,0,0,0,0,0,0,0,0,28140,446,0,489,289,246,346,242,0,207,342,194,326,188,145
13,0,0,0,0,0,0,0,0,0,0,0,0,0,30141,559,0,472,336,299,388,263,0,204,328,39,188,39,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,32141,653,30,452,376,356,443,288,0,166,302,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,34141,763,76,428,423,406,482,297,0,77,229,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,36140,855,111,397,460,427,495,286,0,0,98,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,38140,938,147,385,512,450,490,248,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,16,53,40140,999,182,380,557,447,457,191,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,349,438,42140,1026,194,384,607,444,417,129,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,32,511,594,44141,1048,194,390,658,438,334,37,0,0,0,0,0,0,0
0,0,0,0,0,2,1,0,0,0,47,180,564,567,46141,1058,156,373,666,370,222,0,0,0,0,0,0,0,0
0,0,0,0,0,44,18,0,0,0,101,263,544,539,48141,1078,91,335,596,258,89,0,0,0,0,0,0,0,0
0,0,0,0,0,97,53,0,0,39,153,324,592,571,50140,1021,0,276,463,135,0,0,0,0,0,0,0,0,0
0,0,0,0,28,105,61,0,19,86,220,391,664,640,52140,805,0,220,332,41,0,0,0,0,0,0,0,0,0
