Sen1_L,Sen2_L,Sen3_L,Sen4_L,Sen5_L,Sen6_L,Sen7_L,Sen8_L,Sen9_L,Sen10_L,Sen11_L,Sen12_L,Sen13_L,Sen14_L,CLK,Sen1_R,Sen2_R,Sen3_R,Sen4_R,Sen5_R,Sen6_R,Sen7_R,Sen8_R,Sen9_R,Sen10_R,Sen11_R,Sen12_R,Sen13_R,Sen14_R
121,0,239,105,75,108,47,0,0,0,0,0,0,0,2144,5,0,12,66,0,143,70,0,80,170,411,608,972,772
130,0,164,108,26,90,0,0,0,0,0,0,0,0,4144,0,0,8,68,0,145,74,0,85,182,426,632,1020,844
0,0,19,73,0,46,0,0,0,0,0,0,0,0,6144,0,0,5,69,0,135,64,0,89,184,429,638,1031,876
0,0,0,12,0,0,0,0,0,0,0,0,0,0,8143,0,0,3,80,3,140,66,0,88,183,420,642,1013,894
0,0,0,0,0,0,0,0,0,0,0,0,0,0,10143,0,0,9,89,7,137,57,0,75,182,406,623,986,867
0,0,0,0,0,0,0,0,0,0,0,0,0,0,12143,0,0,9,90,2,127,63,0,80,188,401,597,944,820
0,0,0,0,0,0,0,0,0,0,0,0,0,0,14144,0,0,13,93,6,126,63,0,87,186,387,587,908,770
0,0,0,0,0,0,0,0,0,0,0,0,0,0,16144,0,0,27,103,9,134,72,0,94,192,377,570,879,748
0,0,0,0,0,0,0,0,0,0,0,0,0,0,18144,0,0,54,114,29,148,81,0,99,197,394,571,856,707
0,0,0,0,0,0,0,0,0,0,0,0,0,0,20144,0,0,82,122,47,157,97,0,120,213,396,574,828,680
21,0,0,0,0,0,0,0,0,0,0,0,0,0,22143,7,0,113,133,69,180,103,0,124,228,406,575,799,641
61,0,0,0,0,0,0,0,0,0,0,0,0,0,24143,28,0,178,151,92,201,120,0,139,238,420,557,763,587
127,0,0,0,0,0,0,0,0,0,0,0,0,0,26143,36,0,275,187,113,221,138,0,154,252,414,523,679,499
181,0,0,0,0,0,0,0,0,0,0,0,0,0,28144,158,0,365,211,141,252,168,0,169,269,387,496,562,415
202,0,0,0,0,0,0,0,0,0,0,0,0,0,30144,332,0,435,240,174,273,187,0,188,287,368,450,445,309
220,0,0,0,0,0,0,0,0,0,0,0,0,0,32144,452,0,479,268,204,306,223,0,211,300,315,378,315,188
208,0,0,0,0,0,0,0,0,0,0,0,0,0,34143,548,0,487,295,256,352,245,0,220,329,221,278,154,38
194,0,0,0,0,0,0,0,0,0,0,0,0,0,36143,656,46,475,335,308,396,271,0,205,322,35,100,0,0
205,0,0,0,0,0,0,0,0,0,0,0,0,0,38143,741,109,461,371,346,433,299,0,120,274,0,0,0,0
214,0,0,0,0,0,0,0,0,0,0,0,0,0,40143,839,168,443,404,372,460,304,0,5,150,0,0,0,0
220,0,0,0,0,0,0,0,0,0,0,0,0,0,42144,933,218,429,451,397,461,275,0,0,13,0,0,0,0
211,0,0,0,0,0,0,0,0,0,0,0,0,0,44144,999,260,414,498,398,440,225,0,0,0,0,0,0,0
174,0,0,0,0,0,0,0,0,0,0,0,0,0,46144,1088,296,399,559,388,377,143,0,0,0,0,0,0,0
134,0,0,0,0,0,0,0,0,0,0,0,0,0,48143,1151,307,372,615,348,278,52,0,0,0,0,0,0,0
68,0,0,0,0,0,0,0,0,0,0,0,389,520,50143,1216,282,342,647,295,155,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,621,715,52143,1226,199,293,622,209,44,0,0,0,0,0,0,0,0
0,0,0,0,0,0,26,0,0,0,0,106,735,852,54143,1204,62,243,507,133,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,25,0,0,0,58,312,739,894,56144,963,0,199,378,68,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,73,0,0,66,95,491,728,937,58144,619,0,177,271,3,0,0,0,0,0,0,0,0,0
0,0,0,0,0,24,147,0,0,145,140,558,712,909,60144,408,0,157,201,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,124,199,0,0,200,182,597,724,904,62143,278,0,109,118,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,186,208,0,27,233,218,628,758,893,64143,267,0,114,92,0,0,0,0,0,0,0,0,0,0
0,0,0,0,47,179,206,0,60,260,250,645,764,865,66143,275,0,118,68,0,0,0,0,0,0,0,0,0,0
0,0,0,0,87,184,192,0,78,296,257,640,723,786,68143,267,0,119,60,0,0,0,0,0,0,0,0,0,0
0,0,58,15,93,197,193,0,91,324,255,615,649,711,70144,265,0,116,51,0,0,0,0,0,0,0,0,0,0
0,0,181,54,96,217,218,0,109,359,245,596,557,626,72144,270,0,117,41,0,0,0,0,0,0,0,0,0,0
0,0,293,83,114,247,239,0,131,382,239,565,492,520,74144,268,0,110,36,0,0,0,0,0,0,0,0,0,0
0,0,393,101,127,281,263,0,155,401,248,528,421,437,76143,279,0,105,30,0,0,0,0,0,0,0,0,0,0
103,0,463,122,150,312,278,0,174,397,240,479,347,358,78143,282,0,104,29,0,0,0,0,0,0,0,0,0,0
238,0,488,151,177,334,278,0,192,388,235,437,291,266,80143,289,0,100,21,0,0,0,0,0,0,0,0,0,0
347,0,486,169,191,351,290,0,210,378,212,381,218,175,82143,298,0,91,13,0,0,0,0,0,0,0,0,0,0
423,0,485,191,215,380,301,0,211,369,161,331,137,80,84144,297,0,89,12,0,0,0,0,0,0,0,0,0,0
479,0,469,210,234,400,325,0,220,363,89,251,53,3,86144,309,0,88,6,0,0,0,0,0,0,0,0,0,0
530,0,468,223,264,430,336,0,209,342,1,150,0,0,88143,317,0,87,0,0,0,0,0,0,0,0,0,0,0
582,10,461,227,272,454,367,0,192,325,0,34,0,0,90143,320,0,79,0,0,0,0,0,0,0,0,0,0,0
637,31,451,235,288,486,389,0,151,290,0,0,0,0,92143,325,0,84,0,0,0,0,0,0,0,0,0,0,0
688,49,438,248,298,521,419,0,89,230,0,0,0,0,94143,331,0,80,0,0,0,0,0,0,0,0,0,0,0
748,77,426,266,326,557,422,0,6,150,0,0,0,0,96144,335,0,78,0,0,0,0,0,0,0,0,0,0,0
822,114,414,285,345,575,396,0,0,51,0,0,0,0,98144,336,0,75,0,0,0,0,0,0,0,0,0,0,0
902,153,404,335,384,576,334,0,0,0,0,0,0,0,100144,335,0,74,0,0,0,0,0,0,0,0,0,0,0
981,196,387,376,406,549,256,0,0,0,0,0,0,0,102143,335,0,70,0,0,0,0,0,0,0,0,0,0,0
1039,197,376,430,415,499,174,0,0,0,0,0,0,0,104143,307,0,68,0,0,0,0,0,0,0,0,0,0,0
1074,167,380,466,404,423,100,0,0,0,0,0,0,0,106143,278,0,68,0,0,0,0,0,0,0,0,0,168,497
1078,103,376,433,346,340,47,0,0,0,0,0,0,0,108143,234,0,66,0,0,0,0,0,0,0,0,0,686,941
1055,24,350,334,236,225,7,0,0,0,0,0,0,0,110144,220,0,62,0,0,0,9,0,0,0,0,24,868,1002
880,0,359,239,83,44,0,0,0,0,0,0,0,0,112144,212,0,69,0,0,3,6,0,0,0,44,228,894,1023
682,0,344,172,0,0,0,0,0,0,0,0,0,0,114144,205,0,92,0,0,28,70,0,0,103,155,522,881,1046
460,0,283,122,0,0,0,0,0,0,0,0,0,0,116143,197,0,135,0,0,101,157,0,1,225,204,649,848,996
190,0,150,73,0,0,0,0,0,0,0,0,0,0,118143,188,0,134,0,0,131,213,0,22,296,212,701,790,934
58,0,86,47,0,0,0,0,0,0,0,0,0,0,120143,172,0,155,0,0,160,238,0,48,347,220,721,758,883
47,0,77,32,0,0,0,0,0,0,0,0,0,0,122143,151,0,181,0,0,193,242,0,59,384,214,721,704,790
41,0,65,15,0,0,0,0,0,0,0,0,0,0,124144,118,0,203,0,0,204,259,0,77,401,215,695,615,700
32,0,67,7,0,0,0,0,0,0,0,0,0,0,126144,88,0,237,0,28,218,267,0,80,426,202,645,527,597
30,0,67,0,0,0,0,0,0,0,0,0,0,0,128144,109,0,275,11,54,229,267,0,101,424,198,582,444,495
24,0,57,0,0,0,0,0,0,0,0,0,0,0,130143,145,0,342,41,87,270,261,0,126,395,204,539,397,427
21,0,58,0,0,0,0,0,0,0,0,0,0,0,132143,186,0,422,68,114,302,264,0,151,407,216,506,358,360
20,0,58,0,0,0,0,0,0,0,0,0,0,0,134143,225,0,481,91,145,322,267,0,167,410,216,475,302,275
17,0,53,0,0,0,0,0,0,0,0,0,0,0,136144,257,30,510,118,154,339,286,0,186,405,205,433,243,197
42,0,55,0,0,0,0,0,0,0,0,0,0,0,138144,312,63,533,147,175,356,293,0,196,392,176,378,172,116
47,0,55,0,0,0,0,0,0,0,0,0,0,0,140144,373,84,539,179,197,385,305,0,209,374,129,314,94,32
58,0,52,0,0,0,0,0,0,0,0,0,0,0,142144,443,98,553,205,218,401,314,0,207,357,78,233,24,0
74,0,54,0,0,0,0,0,0,0,0,0,0,0,144143,500,117,554,225,245,428,327,0,206,343,0,133,0,0
85,0,47,0,0,0,0,0,0,0,0,0,0,0,146143,555,137,541,240,263,456,352,0,184,322,0,16,0,0
103,0,50,0,0,0,0,0,0,0,0,0,0,0,148143,610,164,530,238,270,476,386,0,153,281,0,0,0,0
120,0,46,0,0,0,0,0,0,0,0,0,0,0,150144,665,185,529,251,288,509,412,0,91,215,0,0,0,0
127,0,41,0,0,0,0,0,0,0,0,0,0,0,152144,705,211,522,261,293,540,443,0,21,115,0,0,0,0
131,0,42,0,0,0,0,0,0,0,0,0,0,0,154144,767,243,515,273,308,560,434,0,0,55,0,0,0,0
129,0,37,0,0,0,0,0,0,0,0,0,0,0,156143,830,267,515,299,318,578,409,0,0,0,0,0,0,0
121,0,41,0,0,0,0,0,0,0,0,0,0,0,158143,896,293,499,340,337,569,352,0,0,0,0,0,0,0
109,0,33,0,0,0,0,0,0,0,0,0,0,0,160143,968,319,467,371,342,531,280,0,0,0,0,0,0,0
63,0,22,0,0,0,0,0,0,0,0,0,0,0,162143,1009,312,448,420,360,476,187,0,0,0,0,0,0,0
21,0,13,0,0,0,0,0,0,0,0,0,410,552,164144,1023,276,413,457,357,385,101,0,0,0,0,0,0,0
9,0,11,0,0,0,13,0,0,0,0,53,837,852,166144,1004,195,364,447,296,256,24,0,0,0,0,0,0,0
9,0,5,0,0,13,55,0,0,47,192,451,896,830,168144,967,35,281,406,156,68,0,0,0,0,0,0,0,0
0,0,0,0,0,211,147,0,75,192,321,562,929,767,170143,756,0,215,293,39,0,0,0,0,0,0,0,0,0
0,0,0,0,58,215,149,0,114,228,364,577,951,720,172143,517,0,200,218,0,0,0,0,0,0,0,0,0,0
0,0,40,0,106,218,135,0,133,251,378,596,953,700,174143,379,0,193,141,0,0,0,0,0,0,0,0,0,0
0,0,96,14,89,208,138,0,149,265,384,599,913,674,176143,339,0,195,103,0,0,0,0,0,0,0,0,0,0
0,0,171,70,85,216,143,0,151,302,386,612,846,621,178144,329,0,183,79,0,0,0,0,0,0,0,0,0,0
7,0,251,105,100,243,174,0,170,334,368,600,748,538,180144,327,0,182,68,0,0,0,0,0,0,0,0,0,0
106,0,336,141,131,270,183,0,186,334,352,539,609,419,182144,319,0,183,65,0,0,0,0,0,0,0,0,0,0
214,0,386,176,157,276,183,0,208,338,329,475,484,315,184143,315,0,170,52,0,0,0,0,0,0,0,0,0,0
290,0,410,204,179,299,200,0,220,326,303,427,387,228,186143,311,0,170,49,0,0,0,0,0,0,0,0,0,0
342,0,430,220,214,325,213,0,226,334,272,388,292,151,188143,313,0,164,40,0,0,0,0,0,0,0,0,0,0
369,0,439,237,234,352,234,0,238,340,218,332,200,71,190144,316,0,160,37,0,0,0,0,0,0,0,0,0,0
418,0,437,242,248,372,254,0,251,342,143,274,86,2,192144,314,0,154,31,0,0,0,0,0,0,0,0,0,0
454,14,445,255,270,397,265,0,251,335,60,172,9,0,194144,319,0,153,27,0,0,0,0,0,0,0,0,0,0
506,40,446,253,288,422,281,0,236,321,0,79,0,0,196144,321,0,145,20,0,0,0,0,0,0,0,0,0,0
531,60,445,248,293,445,308,0,213,302,0,0,0,0,198143,318,0,142,15,0,0,0,0,0,0,0,0,0,0
568,71,448,256,315,475,328,0,160,262,0,0,0,0,200143,318,0,138,13,0,0,0,0,0,0,0,0,0,0
603,85,442,258,326,505,347,0,114,215,0,0,0,0,202143,328,0,137,5,0,0,0,0,0,0,0,0,0,0
644,115,439,256,337,533,367,0,36,163,0,0,0,0,204144,332,0,134,0,0,0,0,0,0,0,0,0,0,0
680,143,448,265,353,561,369,0,0,91,0,0,0,0,206144,336,0,136,1,0,0,0,0,0,0,0,0,0,0
717,167,442,281,364,588,358,0,0,12,0,0,0,0,208144,335,0,126,0,0,0,0,0,0,0,0,0,0,0
763,201,455,296,388,596,318,0,0,0,0,0,0,0,210144,322,6,133,0,0,0,0,0,0,0,0,0,0,0
795,218,461,329,410,599,273,0,0,0,0,0,0,0,212143,306,15,125,0,0,0,0,0,0,0,0,0,0,0
798,210,472,346,400,579,228,0,0,0,0,0,0,0,214143,292,18,123,0,0,0,0,0,0,0,0,0,0,0
801,175,480,347,413,559,191,0,0,0,0,0,0,0,216143,263,21,120,0,0,0,0,0,0,0,0,0,84,230
812,105,467,307,401,546,161,0,0,0,0,0,0,0,218144,247,0,124,0,0,0,0,0,0,0,0,0,826,929
846,16,439,253,284,339,62,0,0,0,0,0,0,0,220144,240,0,125,0,0,9,13,0,0,0,16,120,1102,970
649,0,471,234,66,46,0,0,0,0,0,0,0,0,222144,238,0,126,0,0,7,25,0,0,16,170,388,1021,944
515,0,450,181,0,0,8,0,0,0,0,0,0,0,224143,232,0,134,0,0,55,109,0,24,177,285,555,1018,861
297,0,351,126,0,0,2,0,0,0,0,0,0,0,226143,217,0,157,0,0,137,172,0,79,241,339,623,1008,815
100,0,193,80,0,0,0,0,0,0,0,0,0,0,228143,202,0,147,0,0,197,192,0,118,283,357,612,921,728
28,0,132,61,0,0,0,0,0,0,0,0,0,0,230143,160,0,201,0,38,211,194,0,143,313,371,619,828,661
30,0,122,39,0,0,0,0,0,0,0,0,0,0,232144,104,2,271,38,87,243,194,0,160,325,361,593,745,572
24,0,109,31,0,0,0,0,0,0,0,0,0,0,234144,121,6,328,64,101,264,205,0,175,323,331,555,635,477
26,0,103,18,0,0,0,0,0,0,0,0,0,0,236144,148,12,394,92,117,274,206,0,164,326,318,499,533,388
21,0,101,12,0,0,0,0,0,0,0,0,0,0,238143,174,35,435,112,131,282,207,0,177,318,290,455,445,299
18,0,94,3,0,0,0,0,0,0,0,0,0,0,240143,201,58,464,143,141,293,210,0,187,308,278,408,357,235
26,0,86,0,0,0,0,0,0,0,0,0,0,0,242143,244,80,495,167,161,299,212,0,192,302,260,364,271,135
39,0,93,0,0,0,0,0,0,0,0,0,0,0,244143,291,98,509,184,172,309,220,0,206,312,221,322,177,75
52,0,80,0,0,0,0,0,0,0,0,0,0,0,246144,335,103,523,202,183,327,242,0,218,312,180,270,104,17
58,0,77,0,0,0,0,0,0,0,0,0,0,0,248144,396,107,527,225,206,363,268,0,231,316,125,233,42,0
77,0,73,0,0,0,0,0,0,0,0,0,0,0,250144,465,118,544,246,235,392,281,0,233,325,67,166,0,0
100,0,67,0,0,0,0,0,0,0,0,0,0,0,252143,538,144,527,265,262,415,309,0,238,323,0,63,0,0
116,0,68,0,0,0,0,0,0,0,0,0,0,0,254143,605,172,526,270,283,454,332,0,213,288,0,0,0,0
133,0,60,0,0,0,0,0,0,0,0,0,0,0,256143,649,191,526,284,299,484,357,0,170,223,0,0,0,0
155,0,57,0,0,0,0,0,0,0,0,0,0,0,258143,697,232,508,272,297,514,388,0,111,162,0,0,0,0
168,0,58,0,0,0,0,0,0,0,0,0,0,0,260144,750,269,502,270,302,537,400,0,21,91,0,0,0,0
170,0,49,0,0,0,0,0,0,0,0,0,0,0,262144,798,299,494,285,309,550,390,0,0,16,0,0,0,0
176,0,49,0,0,0,0,0,0,0,0,0,0,0,264144,856,330,501,309,315,563,353,0,0,0,0,0,0,0
169,0,47,0,0,0,0,0,0,0,0,0,0,0,266143,911,355,486,342,326,544,295,0,0,0,0,0,0,0
162,0,41,0,0,0,0,0,0,0,0,0,0,0,268143,969,367,469,382,339,499,209,0,0,0,0,0,0,0
124,0,36,0,0,0,0,0,0,0,0,0,0,0,270143,1012,360,439,411,343,420,128,0,0,0,0,0,0,0
58,0,26,0,0,0,0,0,0,0,0,0,194,252,272144,1019,314,415,429,319,338,68,0,0,0,0,0,0,0
19,0,18,0,0,0,32,0,0,0,0,2,881,862,274144,1015,264,364,401,233,204,7,0,0,0,0,0,0,0
12,0,4,0,0,37,42,0,0,0,185,374,961,872,276144,911,109,290,360,136,65,0,0,0,0,0,0,0,0
9,0,0,0,0,204,138,0,59,161,346,517,964,773,278143,664,0,250,281,25,0,0,0,0,0,0,0,0,0
0,0,0,0,36,220,140,0,108,208,432,547,1030,712,280143,471,0,227,211,0,0,0,0,0,0,0,0,0,0
0,0,101,80,62,197,123,0,126,218,467,541,1070,696,282143,351,0,202,129,0,0,0,0,0,0,0,0,0,0
0,0,183,135,75,201,122,0,130,212,470,539,1007,665,284143,335,0,207,94,0,0,0,0,0,0,0,0,0,0
0,2,251,156,79,206,132,0,140,230,447,523,924,599,286144,328,0,202,76,0,0,0,0,0,0,0,0,0,0
21,19,308,183,100,208,139,0,141,249,417,499,810,522,288144,320,0,191,63,0,0,0,0,0,0,0,0,0,0
80,0,363,218,126,236,146,0,141,237,380,449,675,423,290144,322,0,188,52,0,0,0,0,0,0,0,0,0,0
182,0,395,244,158,245,146,0,153,239,350,388,544,314,292143,321,4,185,45,0,0,0,0,0,0,0,0,0,0
285,0,402,278,189,263,155,0,174,227,327,341,442,223,294143,315,9,174,35,0,0,0,0,0,0,0,0,0,0
368,0,408,307,213,289,164,0,167,213,288,299,368,145,296143,310,5,176,31,0,0,0,0,0,0,0,0,0,0
419,0,401,339,243,299,159,0,170,201,256,255,275,87,298143,311,9,166,25,0,0,0,0,0,0,0,0,0,0
473,20,404,358,267,312,164,0,183,203,208,192,178,22,300144,314,9,160,21,0,0,0,0,0,0,0,0,0,0
515,41,412,388,293,332,172,0,183,192,118,121,99,0,302144,313,7,157,22,0,0,0,0,0,0,0,0,0,0
563,58,401,411,321,357,183,0,179,175,36,32,3,0,304144,320,9,156,13,0,0,0,0,0,0,0,0,0,0
623,83,391,429,349,381,186,0,169,151,0,0,0,0,306143,322,14,147,5,0,0,0,0,0,0,0,0,0,0
681,100,372,439,369,406,194,0,144,122,0,0,0,0,308143,325,15,144,0,0,0,0,0,0,0,0,0,0,0
724,114,360,461,392,437,198,0,93,82,0,0,0,0,310143,330,19,146,0,0,0,0,0,0,0,0,0,0,0
781,151,357,469,410,444,190,0,15,48,0,0,0,0,312143,339,36,137,0,0,0,0,0,0,0,0,0,0,0
812,176,361,494,439,462,179,0,0,0,0,0,0,0,314144,328,56,132,0,0,0,0,0,0,0,0,0,0,0
844,208,380,507,442,458,152,0,0,0,0,0,0,0,316144,321,65,125,0,0,0,0,0,0,0,0,0,0,0
871,236,396,535,449,436,102,0,0,0,0,0,0,0,318144,312,50,128,0,0,0,0,0,0,0,0,0,0,0
896,247,412,555,444,398,64,0,0,0,0,0,0,0,320143,296,33,123,0,0,0,0,0,0,0,0,0,0,0
885,240,424,563,424,364,39,0,0,0,0,0,0,0,322143,287,16,123,0,0,0,0,0,0,0,0,0,0,0
884,213,459,533,397,335,21,0,0,0,0,0,0,0,324143,267,3,127,0,0,0,0,0,0,0,0,0,0,0
873,160,466,419,325,301,19,0,0,0,0,0,0,0,326143,252,0,121,0,0,0,0,0,0,0,0,0,790,858
875,75,442,286,203,179,12,0,0,0,0,0,0,0,328144,242,0,120,0,0,7,27,0,0,0,0,27,1178,812
650,0,503,230,24,12,0,0,0,0,0,0,0,0,330144,240,0,116,0,0,0,12,0,0,0,133,255,1213,821
495,0,445,179,0,0,0,0,0,0,0,0,0,0,332143,230,0,111,0,0,16,80,0,31,130,273,461,1162,759
236,0,364,129,0,0,0,0,0,0,0,0,0,0,334143,225,0,145,0,0,103,162,0,94,203,382,529,1202,701
19,0,225,84,0,0,0,0,0,0,0,0,0,0,336143,200,0,184,0,0,204,184,0,143,215,434,523,1185,631
13,0,184,62,0,0,0,0,0,0,0,0,0,0,338143,150,0,222,0,48,200,151,0,155,218,446,507,1129,569
19,0,169,42,0,0,0,0,0,0,0,0,0,0,340144,121,0,264,15,67,203,122,0,168,217,426,489,1069,506
