Sen1_L,Sen2_L,Sen3_L,Sen4_L,Sen5_L,Sen6_L,Sen7_L,Sen8_L,Sen9_L,Sen10_L,Sen11_L,Sen12_L,Sen13_L,Sen14_L,CLK,Sen1_R,Sen2_R,Sen3_R,Sen4_R,Sen5_R,Sen6_R,Sen7_R,Sen8_R,Sen9_R,Sen10_R,Sen11_R,Sen12_R,Sen13_R,Sen14_R
0,0,110,93,73,129,114,0,87,251,165,415,461,406,4143,0,0,0,28,0,113,65,0,55,96,219,272,509,380
0,2,208,126,86,146,125,0,78,228,65,262,201,163,6143,0,0,10,42,0,135,68,0,67,126,275,343,618,465
0,54,285,135,112,173,124,0,36,157,0,0,0,0,8143,0,0,16,49,0,139,62,0,87,136,334,425,761,582
0,72,290,133,108,166,94,0,0,20,0,0,0,0,10142,0,0,33,61,7,138,50,0,98,157,373,496,904,657
0,65,255,117,68,113,0,0,0,0,0,0,0,0,12142,0,0,62,80,25,133,57,0,112,162,409,527,981,713
0,28,153,72,0,27,0,0,0,0,0,0,0,0,14142,0,0,73,91,38,147,56,0,118,172,412,548,1019,742
0,0,0,18,0,0,0,0,0,0,0,0,0,0,16143,0,0,74,105,44,148,55,0,120,174,425,554,1038,747
0,0,0,0,0,0,0,0,0,0,0,0,0,0,18143,0,0,71,103,44,152,64,0,127,187,419,550,1018,739
0,0,0,0,0,0,0,0,0,0,0,0,0,0,20143,0,0,72,116,50,162,59,0,122,189,406,555,1003,704
0,0,0,0,0,0,0,0,0,0,0,0,0,0,22143,0,0,58,122,57,157,56,0,129,192,409,514,942,672
0,0,0,0,0,0,0,0,0,0,0,0,0,0,24142,0,0,55,129,62,162,56,0,126,188,389,501,898,633
0,0,0,0,0,0,0,0,0,0,0,0,0,0,26142,0,0,65,143,64,166,68,0,128,186,383,486,844,603
0,0,0,0,0,0,0,0,0,0,0,0,0,0,28142,0,0,101,155,78,176,69,0,135,194,389,473,822,570
0,0,0,0,0,0,0,0,0,0,0,0,0,0,30143,0,0,157,181,86,184,82,0,147,204,393,461,769,540
0,0,0,0,0,0,0,0,0,0,0,0,0,0,32143,6,0,246,228,127,206,98,0,161,226,401,435,687,450
0,0,0,0,0,0,0,0,0,0,0,0,0,0,34143,267,0,337,286,177,233,124,0,179,238,367,403,561,338
7,0,0,0,0,0,0,0,0,0,0,0,0,0,36142,487,0,388,318,218,280,158,0,194,256,324,330,398,211
14,0,0,0,0,0,0,0,0,0,0,0,0,0,38142,595,0,410,353,269,327,190,0,203,273,217,254,222,65
35,0,0,0,0,0,0,0,0,0,0,0,0,0,40142,680,0,397,380,317,379,233,0,200,272,52,103,17,0
38,0,0,0,0,0,0,0,0,0,0,0,0,0,42142,765,27,394,416,372,425,267,0,143,256,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0,0,0,0,44143,832,89,402,446,396,467,286,0,25,160,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0,0,0,0,46143,909,135,397,483,417,463,273,0,0,16,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0,0,0,0,48143,997,180,385,520,424,445,225,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,50142,1067,210,370,580,424,397,155,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,553,565,52142,1131,210,359,647,407,307,48,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,57,154,763,646,54142,1196,170,315,685,325,154,0,0,0,0,0,0,0,0
0,0,0,0,0,0,65,0,0,36,235,370,849,659,56143,1240,64,265,629,185,22,0,0,0,0,0,0,0,0
0,0,0,0,0,133,98,0,21,72,309,406,883,629,58143,1139,0,226,463,87,0,0,0,0,0,0,0,0,0
0,0,0,0,22,135,83,0,59,98,368,423,934,614,60143,823,0,195,313,16,0,0,0,0,0,0,0,0,0
0,0,0,18,71,112,65,0,76,118,404,434,954,628,62143,507,0,197,224,0,0,0,0,0,0,0,0,0,0
0,0,0,83,74,119,57,0,80,135,413,456,981,625,64142,299,0,128,133,0,0,0,0,0,0,0,0,0,0
0,0,36,116,70,118,58,0,83,153,419,457,969,614,66142,266,0,111,85,0,0,0,0,0,0,0,0,0,0
0,0,55,118,72,141,91,0,95,158,406,478,927,614,68142,252,0,103,65,0,0,0,0,0,0,0,0,0,0
0,0,86,118,85,170,117,0,100,203,379,501,846,561,70143,252,0,98,60,0,0,0,0,0,0,0,0,0,0
53,0,136,114,101,202,151,0,120,262,360,516,722,490,72143,259,0,85,46,0,0,0,0,0,0,0,0,0,0
137,0,197,120,117,238,194,0,147,299,343,512,597,406,74143,271,0,83,34,0,0,0,0,0,0,0,0,0,0
204,0,264,134,129,275,232,0,166,333,323,499,487,323,76143,276,0,79,25,0,0,0,0,0,0,0,0,0,0
253,0,321,141,143,297,248,0,185,372,298,473,409,245,78142,279,0,75,22,0,0,0,0,0,0,0,0,0,0
281,0,375,155,161,321,278,0,192,385,276,448,339,193,80142,289,0,68,10,0,0,0,0,0,0,0,0,0,0
322,0,403,172,176,329,287,0,210,374,251,406,278,128,82142,294,0,67,5,0,0,0,0,0,0,0,0,0,0
400,0,429,213,206,344,276,0,213,347,218,346,216,63,84143,301,0,61,1,0,0,0,0,0,0,0,0,0,0
490,0,423,250,228,356,273,0,218,312,174,247,147,0,86143,318,0,65,0,0,0,0,0,0,0,0,0,0,0
571,0,408,289,254,373,269,0,215,278,100,157,58,0,88143,329,0,58,0,0,0,0,0,0,0,0,0,0,0
673,0,393,324,297,385,253,0,212,252,19,49,0,0,90142,332,0,57,0,0,0,0,0,0,0,0,0,0,0
754,0,361,362,335,413,254,0,195,209,0,0,0,0,92142,345,0,53,0,0,0,0,0,0,0,0,0,0,0
853,0,344,406,371,452,256,0,157,149,0,0,0,0,94142,345,0,49,0,0,0,0,0,0,0,0,0,0,0
942,18,333,450,414,467,238,0,76,103,0,0,0,0,96142,365,0,50,0,0,0,0,0,0,0,0,0,0,0
993,70,337,495,441,494,228,0,0,28,0,0,0,0,98143,385,0,49,0,0,0,0,0,0,0,0,0,0,0
1065,122,333,522,462,484,193,0,0,0,0,0,0,0,100143,388,0,42,0,0,0,0,0,0,0,0,0,0,0
