Sen1_L,Sen2_L,Sen3_L,Sen4_L,Sen5_L,Sen6_L,Sen7_L,Sen8_L,Sen9_L,Sen10_L,Sen11_L,Sen12_L,Sen13_L,Sen14_L,CLK,Sen1_R,Sen2_R,Sen3_R,Sen4_R,Sen5_R,Sen6_R,Sen7_R,Sen8_R,Sen9_R,Sen10_R,Sen11_R,Sen12_R,Sen13_R,Sen14_R
3,0,86,33,0,0,0,0,0,0,0,0,0,0,2148,0,0,17,117,52,178,55,0,143,202,418,607,898,758
0,0,0,0,0,0,0,0,0,0,0,0,0,0,4149,0,0,12,116,42,179,62,0,145,211,421,613,916,792
0,0,0,0,0,0,0,0,0,0,0,0,0,0,6148,0,0,15,114,36,179,74,0,147,225,416,629,905,793
0,0,0,0,0,0,0,0,0,0,0,0,0,0,8148,0,0,26,114,38,189,85,0,147,234,410,631,896,763
0,0,0,0,0,0,0,0,0,0,0,0,0,0,10148,0,0,32,117,34,188,91,0,152,237,393,620,859,731
0,0,0,0,0,0,0,0,0,0,0,0,0,0,12148,0,0,37,111,34,191,100,0,158,244,391,598,823,696
7,0,0,0,0,0,0,0,0,0,0,0,0,0,14148,0,0,59,114,47,198,103,0,164,253,386,598,781,656
25,0,0,0,0,0,0,0,0,0,0,0,0,0,16148,19,0,102,136,76,216,116,0,168,256,400,566,733,588
35,0,0,0,0,0,0,0,0,0,0,0,0,0,18149,28,0,130,185,108,237,127,0,170,246,401,524,685,527
38,0,0,0,0,0,0,0,0,0,0,0,0,0,20148,69,0,212,235,149,242,134,0,187,256,388,472,595,439
43,0,0,0,0,0,0,0,0,0,0,0,0,0,22148,306,0,339,273,181,271,160,0,189,256,361,415,467,318
59,0,0,0,0,0,0,0,0,0,0,0,0,0,24148,505,0,410,327,235,309,195,0,206,267,292,328,321,178
73,0,0,0,0,0,0,0,0,0,0,0,0,0,26148,612,0,418,373,292,346,215,0,206,267,182,209,147,21
80,0,0,0,0,0,0,0,0,0,0,0,0,0,28148,723,9,405,414,345,385,238,0,174,243,0,16,0,0
