Sen1_L,Sen2_L,Sen3_L,Sen4_L,Sen5_L,Sen6_L,Sen7_L,Sen8_L,Sen9_L,Sen10_L,Sen11_L,Sen12_L,Sen13_L,Sen14_L,CLK,Sen1_R,Sen2_R,Sen3_R,Sen4_R,Sen5_R,Sen6_R,Sen7_R,Sen8_R,Sen9_R,Sen10_R,Sen11_R,Sen12_R,Sen13_R,Sen14_R
392,0,288,204,134,173,66,0,44,82,199,187,351,130,2140,227.0,0.0,155.0,113.0,64.0,128.0,18.0,0.0,19.0,63.0,256.0,376.0,409.0,416.0
392,0,281,204,124,162,58,0,42,75,217,201,391,158,4140,160.0,0.0,85.0,91.0,41.0,120.0,10.0,0.0,12.0,47.0,269.0,387.0,474.0,458.0
380,0,276,198,117,154,52,0,28,68,223,213,437,189,6140,98.0,0.0,26.0,62.0,3.0,109.0,10.0,0.0,4.0,39.0,263.0,376.0,506.0,499.0
352,0,248,176,104,133,42,0,32,62,234,221,461,208,8140,72.0,0.0,16.0,57.0,0.0,102.0,5.0,0.0,0.0,23.0,257.0,354.0,528.0,509.0
290,0,206,124,82,129,46,0,28,59,256,240,502,246,10140,61.0,0.0,13.0,54.0,0.0,101.0,4.0,0.0,0.0,21.0,248.0,340.0,534.0,525.0
230,0,165,84,68,114,49,0,30,62,262,277,570,293,12140,57.0,0.0,21.0,61.0,0.0,98.0,2.0,0.0,0.0,10.0,240.0,343.0,551.0,533.0
173,0,119,63,49,99,61,0,28,68,278,293,612,340,14140,52.0,0.0,19.0,58.0,0.0,87.0,0.0,0.0,0.0,22.0,251.0,344.0,562.0,542.0
137,0,96,51,38,94,49,0,29,71,281,299,637,364,16140,48.0,0.0,14.0,57.0,0.0,82.0,0.0,0.0,0.0,18.0,246.0,348.0,582.0,564.0
127,0,88,57,46,87,40,0,25,63,284,308,645,365,18140,41.0,0.0,13.0,56.0,0.0,75.0,2.0,0.0,0.0,19.0,258.0,362.0,598.0,600.0
114,0,71,55,39,82,37,0,26,61,282,287,641,350,20140,35.0,0.0,18.0,56.0,0.0,75.0,0.0,0.0,0.0,27.0,264.0,399.0,641.0,649.0
101,0,63,58,42,75,28,0,21,56,269,270,619,335,22140,34.0,0.0,24.0,60.0,0.0,84.0,2.0,0.0,0.0,47.0,310.0,460.0,720.0,715.0
67,0,67,62,46,73,26,0,16,55,245,254,571,286,24140,27.0,0.0,24.0,66.0,0.0,84.0,9.0,0.0,12.0,77.0,349.0,532.0,802.0,827.0
44,0,64,68,58,76,27,0,16,58,186,220,455,209,26140,20.0,0.0,20.0,65.0,0.0,91.0,23.0,0.0,24.0,89.0,376.0,601.0,868.0,912.0
37,0,69,68,66,73,31,0,6,60,108,141,259,87,28140,22.0,0.0,21.0,68.0,0.0,94.0,27.0,0.0,30.0,124.0,401.0,655.0,905.0,973.0
